"","date","team","start_pitcher","X1","X2","X3","X4","X5","X6","X7","X8","X9"
"away423",2015-07-21,"두산","스와잭","민병헌","정수빈","김현수","로메로","양의지","오재원","허경민","박건우","김재호"
"home423",2015-07-21,"SK","세든","이명기","조동화","최정","이재원","브라운","김강민","이대수","정상호","김성현"
"away424",2015-07-21,"넥센","밴헤켄","고종욱","임병욱","서건창","박병호","김민성","유한준","스나이더","김하성","박동원"
"home424",2015-07-21,"LG","우규민","정성훈","오지환","이진영","히메네스","정의윤","박용택","문선재","최경철","손주인"
"away425",2015-07-22,"한화","안영명","이용규","장운호","정근우","김태균","이종환","이성열","강경학","주현상","조인성"
"home425",2015-07-22,"kt","엄상백","오정복","이대형","마르테","김상현","장성우","박경수","박기혁","신명철","김사연"
"away426",2015-07-22,"KIA","임기준","김주찬","신종길","필","나지완","이범호","백용환","김민우","김호령","이인행"
"home426",2015-07-22,"삼성","피가로","구자욱","박해민","나바로","최형우","채태인","이승엽","박석민","이지영","김상수"
"away427",2015-07-22,"NC","해커","박민우","김종호","나성범","테임즈","김성욱","이종욱","지석훈","손시헌","김태군"
"home427",2015-07-22,"롯데","송승준","손아섭","김문호","황재균","아두치","최준석","강민호","박종윤","정훈","문규현"
"away428",2015-07-22,"두산","장원준","민병헌","허경민","김현수","로메로","오재원","양의지","오재일","박건우","김재호"
"home428",2015-07-22,"SK","박종훈","이명기","조동화","최정","이재원","김강민","브라운","김성현","정상호","김연훈"
"away429",2015-07-22,"넥센","문성현","고종욱","서건창","유한준","박병호","김민성","윤석민","스나이더","김하성","박동원"
"home429",2015-07-22,"LG","루카스","정성훈","오지환","이진영","히메네스","이병규","박용택","문선재","유강남","박지규"
"away430",2015-07-23,"KIA","양현종","신종길","김민우","김주찬","필","이범호","김다원","백용환","박찬호","김호령"
"home430",2015-07-23,"삼성","차우찬","구자욱","박해민","나바로","최형우","채태인","이승엽","박석민","이지영","김상수"
"away431",2015-07-23,"NC","이태양","김종호","김성욱","나성범","테임즈","조영훈","모창민","지석훈","손시헌","김태군"
"home431",2015-07-23,"롯데","심수창","손아섭","김문호","정훈","아두치","최준석","강민호","박종윤","손용석","문규현"
"away432",2015-07-23,"두산","유희관","민병헌","허경민","김현수","로메로","오재원","양의지","오재일","박건우","김재호"
"home432",2015-07-23,"SK","켈리","이명기","임훈","최정","브라운","이재원","김강민","박정권","나주환","김성현"
"away433",2015-07-24,"롯데","린드블럼","손아섭","김문호","황재균","아두치","최준석","강민호","박종윤","정훈","문규현"
"home433",2015-07-24,"KIA","임준혁","김주찬","이인행","필","나지완","이범호","김원섭","김민우","백용환","김호령"
"away434",2015-07-24,"두산","허준혁","민병헌","허경민","김현수","로메로","오재원","양의지","오재일","박건우","김재호"
"home434",2015-07-24,"NC","손민한","박민우","김종호","나성범","테임즈","김성욱","조영훈","모창민","지석훈","김태군"
"away435",2015-07-24,"삼성","클로이드","구자욱","박해민","나바로","최형우","채태인","이승엽","박석민","이지영","김상수"
"home435",2015-07-24,"한화","배영수","이용규","강경학","정근우","김태균","이성열","정범모","장운호","고동진","주현상"
"away436",2015-07-25,"롯데","박세웅","손아섭","김문호","황재균","아두치","최준석","강민호","박종윤","정훈","김대륙"
"home436",2015-07-25,"KIA","박정수","신종길","김원섭","김주찬","필","이범호","나지완","김민우","백용환","이인행"
"away437",2015-07-25,"두산","진야곱","민병헌","정수빈","김현수","로메로","오재원","양의지","허경민","오재일","김재호"
"home437",2015-07-25,"NC","이재학","박민우","김종호","나성범","테임즈","이호준","이종욱","지석훈","손시헌","김태군"
"away438",2015-07-25,"삼성","장원삼","구자욱","박해민","나바로","최형우","채태인","이승엽","박석민","이흥련","김상수"
"home438",2015-07-25,"한화","김민우","이용규","장운호","정근우","김태균","이성열","신성현","주현상","권용관","조인성"
"away439",2015-07-26,"kt","정대현","오정복","이대형","마르테","김상현","장성우","박경수","신명철","김사연","박기혁"
"home439",2015-07-26,"LG","우규민","정성훈","오지환","이진영","히메네스","이병규","박용택","문선재","유강남","손주인"
"away440",2015-07-26,"롯데","레일리","손아섭","김문호","황재균","아두치","최준석","강민호","박종윤","정훈","김대륙"
"home440",2015-07-26,"KIA","스틴슨","김주찬","김민우","필","나지완","이범호","김다원","이홍구","황대인","김호령"
"away441",2015-07-26,"두산","스와잭","민병헌","허경민","김현수","로메로","오재원","양의지","오재일","박건우","김재호"
"home441",2015-07-26,"NC","스튜어트","박민우","김종호","나성범","테임즈","이호준","이종욱","지석훈","손시헌","김태군"
"away442",2015-07-26,"SK","세든","이명기","김강민","최정","브라운","이재원","박정권","나주환","정상호","김성현"
"home442",2015-07-26,"넥센","피어밴드","고종욱","유재신","유한준","박병호","김민성","윤석민","박헌도","김하성","박동원"
"away443",2015-07-26,"삼성","윤성환","구자욱","박해민","나바로","최형우","채태인","이승엽","박석민","이지영","김상수"
"home443",2015-07-26,"한화","탈보트","이용규","장운호","정근우","김태균","김경언","고동진","권용관","주현상","조인성"
"away444",2015-07-28,"한화","송은범","이용규","장운호","정근우","김태균","김경언","이성열","권용관","조인성","주현상"
"home444",2015-07-28,"두산","장원준","민병헌","허경민","김현수","로메로","양의지","오재일","최주환","박건우","김재호"
"away445",2015-07-28,"kt","옥스프링","오정복","박기혁","박경수","마르테","장성우","김상현","윤요섭","모상기","이대형"
"home445",2015-07-28,"넥센","밴헤켄","고종욱","스나이더","유한준","박병호","김민성","윤석민","서건창","김하성","박동원"
"away446",2015-07-28,"LG","루카스","정성훈","임훈","이진영","히메네스","오지환","박용택","나성용","유강남","손주인"
"home446",2015-07-28,"롯데","송승준","손아섭","정훈","황재균","아두치","최준석","강민호","박종윤","이우민","김대륙"
"away447",2015-07-28,"NC","해커","박민우","김종호","나성범","테임즈","이호준","이종욱","지석훈","손시헌","김태군"
"home447",2015-07-28,"삼성","피가로","구자욱","박해민","나바로","최형우","채태인","이승엽","박석민","이지영","김상수"
"away448",2015-07-28,"SK","김광현","이명기","김강민","최정","브라운","이재원","박정권","정의윤","나주환","김성현"
"home448",2015-07-28,"KIA","임준혁","김주찬","김민우","필","이범호","나지완","김다원","백용환","황대인","김호령"
"away449",2015-07-29,"한화","배영수","이용규","장운호","정근우","김태균","김경언","조인성","권용관","이성열","주현상"
"home449",2015-07-29,"두산","유희관","민병헌","허경민","김현수","로메로","양의지","오재일","최주환","정진호","김재호"
"away450",2015-07-29,"kt","저마노","오정복","이대형","장성호","마르테","장성우","박경수","모상기","박기혁","김민혁"
"home450",2015-07-29,"넥센","송신영","고종욱","스나이더","유한준","박병호","김민성","윤석민","서건창","김하성","박동원"
"away451",2015-07-29,"LG","류제국","정성훈","임훈","이진영","나성용","오지환","박용택","양석환","유강남","박지규"
"home451",2015-07-29,"롯데","린드블럼","손아섭","정훈","황재균","아두치","최준석","강민호","박종윤","오현근","김대륙"
"away452",2015-07-29,"NC","이승호","최재원","김성욱","모창민","테임즈","이호준","이종욱","지석훈","손시헌","용덕한"
"home452",2015-07-29,"삼성","차우찬","구자욱","박해민","나바로","최형우","박석민","이승엽","채태인","이흥련","김상수"
"away453",2015-07-29,"SK","윤희상","브라운","이명기","최정","정의윤","이재원","김강민","나주환","정상호","김성현"
"home453",2015-07-29,"KIA","양현종","신종길","김원섭","필","이범호","나지완","김민우","백용환","김호령","박찬호"
"away454",2015-07-30,"한화","김민우","이용규","강경학","정근우","김태균","김경언","조인성","장운호","주현상","신성현"
"home454",2015-07-30,"두산","허준혁","민병헌","허경민","오재원","로메로","양의지","오재일","정진호","박건우","김재호"
"away455",2015-07-30,"kt","엄상백","오정복","이대형","장성호","마르테","장성우","박경수","김상현","박기혁","김사연"
"home455",2015-07-30,"넥센","문성현","고종욱","스나이더","유한준","박병호","김민성","윤석민","서건창","김하성","박동원"
"away456",2015-07-30,"LG","소사","정성훈","임훈","박용택","히메네스","이진영","오지환","문선재","최경철","손주인"
"home456",2015-07-30,"롯데","심수창","손아섭","정훈","오승택","아두치","최준석","박종윤","안중열","이우민","문규현"
"away457",2015-07-30,"NC","이민호","박민우","김종호","나성범","테임즈","이호준","이종욱","지석훈","손시헌","김태군"
"home457",2015-07-30,"삼성","클로이드","구자욱","박해민","나바로","최형우","박석민","이승엽","박찬도","이지영","김상수"
"away458",2015-07-30,"SK","켈리","브라운","이명기","최정","정의윤","이재원","김강민","박정권","나주환","김성현"
"home458",2015-07-30,"KIA","김병현","신종길","오준혁","필","이범호","나지완","김원섭","윤완주","이홍구","박찬호"
"away459",2015-07-31,"KIA","박정수","신종길","오준혁","김주찬","필","이범호","김민우","백용환","김호령","박찬호"
"home459",2015-07-31,"한화","탈보트","이용규","강경학","김경언","김태균","정근우","이성열","조인성","장운호","주현상"
"away460",2015-07-31,"LG","김광삼","임훈","서상우","박용택","정성훈","이진영","양석환","오지환","유강남","손주인"
"home460",2015-07-31,"SK","박종훈","브라운","박정권","이명기","최정","정의윤","김강민","나주환","정상호","김성현"
"away461",2015-07-31,"롯데","박세웅","손아섭","정훈","황재균","아두치","최준석","강민호","박종윤","김주현","문규현"
"home461",2015-07-31,"kt","윤근영","오정복","이대형","마르테","김상현","박경수","장성호","윤요섭","박기혁","김민혁"
"away462",2015-07-31,"삼성","장원삼","구자욱","박해민","나바로","최형우","박석민","이승엽","박찬도","이흥련","김상수"
"home462",2015-07-31,"두산","진야곱","허경민","박건우","김현수","로메로","오재원","고영민","국해성","최재훈","김재호"
"away463",2015-07-31,"넥센","김택형","고종욱","임병욱","유한준","박병호","김민성","윤석민","스나이더","김하성","박동원"
"home463",2015-07-31,"NC","이태양","김종호","모창민","나성범","테임즈","이호준","이종욱","지석훈","손시헌","김태군"
"away464",2015-08-01,"KIA","스틴슨","신종길","김민우","김주찬","필","이범호","나지완","이홍구","김호령","박찬호"
"home464",2015-08-01,"한화","송창식","강경학","장운호","정근우","김태균","김경언","이성열","조인성","황선일","주현상"
"away465",2015-08-01,"LG","우규민","문선재","임훈","박용택","정성훈","히메네스","양석환","유강남","김영관","손주인"
"home465",2015-08-01,"SK","세든","조동화","박정권","이명기","최정","이재원","브라운","나주환","정상호","김성현"
"away466",2015-08-01,"롯데","레일리","손아섭","정훈","황재균","아두치","최준석","강민호","김주현","오승택","문규현"
"home466",2015-08-01,"kt","정대현","오정복","이대형","마르테","김상현","윤요섭","박경수","장성우","박기혁","김사연"
"away467",2015-08-01,"삼성","윤성환","구자욱","박해민","나바로","최형우","박석민","이승엽","박찬도","이지영","김상수"
"home467",2015-08-01,"두산","스와잭","허경민","박건우","김현수","로메로","오재원","오재일","국해성","최재훈","김재호"
"away468",2015-08-01,"넥센","피어밴드","고종욱","스나이더","유한준","박병호","김민성","윤석민","서건창","김하성","박동원"
"home468",2015-08-01,"NC","스튜어트","박민우","김종호","나성범","테임즈","이호준","이종욱","지석훈","손시헌","김태군"
"away469",2015-08-02,"KIA","임준혁","신종길","김민우","김주찬","필","이범호","김원섭","나지완","이홍구","박찬호"
"home469",2015-08-02,"한화","안영명","강경학","권용관","정근우","김태균","김경언","조인성","장운호","이성열","주현상"
"away470",2015-08-02,"LG","루카스","문선재","임훈","박용택","정성훈","히메네스","채은성","유강남","김영관","손주인"
"home470",2015-08-02,"SK","김광현","이명기","박정권","최정","정의윤","이재원","김강민","브라운","김연훈","김성현"
"away471",2015-08-02,"롯데","이재곤","손아섭","정훈","황재균","아두치","최준석","강민호","오승택","이우민","김대륙"
"home471",2015-08-02,"kt","옥스프링","오정복","이대형","마르테","김상현","장성우","박경수","김영환","박기혁","김민혁"
"away472",2015-08-02,"삼성","피가로","구자욱","박해민","나바로","최형우","이승엽","이지영","백상원","박찬도","김상수"
"home472",2015-08-02,"두산","장원준","민병헌","허경민","김현수","로메로","오재원","양의지","오재일","국해성","최주환"
"away473",2015-08-02,"넥센","밴헤켄","고종욱","이택근","유한준","박병호","김민성","윤석민","서건창","김하성","박동원"
"home473",2015-08-02,"NC","해커","박민우","김종호","나성범","테임즈","이호준","이종욱","지석훈","손시헌","김태군"
"away474",2015-08-04,"한화","김민우","강경학","권용관","김경언","김태균","조인성","황선일","장운호","이성열","주현상"
"home474",2015-08-04,"SK","윤희상","이명기","박정권","최정","정의윤","이재원","김강민","브라운","박계현","김성현"
"away475",2015-08-04,"KIA","양현종","신종길","김민우","김주찬","필","이범호","김원섭","백용환","김호령","박찬호"
"home475",2015-08-04,"넥센","송신영","이택근","스나이더","유한준","박병호","김민성","윤석민","박헌도","김하성","박동원"
"away476",2015-08-04,"NC","이재학","박민우","김성욱","나성범","테임즈","이호준","이종욱","지석훈","손시헌","김태군"
"home476",2015-08-04,"LG","류제국","임훈","서상우","박용택","정성훈","이진영","양석환","오지환","유강남","손주인"
"away477",2015-08-04,"두산","유희관","민병헌","허경민","김현수","로메로","오재원","양의지","홍성흔","오재일","정진호"
"home477",2015-08-04,"롯데","린드블럼","손아섭","정훈","황재균","아두치","최준석","강민호","김주현","오승택","김대륙"
"away478",2015-08-04,"삼성","차우찬","구자욱","박해민","나바로","최형우","박석민","이승엽","채태인","이흥련","김상수"
"home478",2015-08-04,"kt","저마노","오정복","이대형","마르테","김상현","장성우","박경수","윤요섭","박기혁","배병옥"
"away479",2015-08-05,"한화","탈보트","강경학","장운호","정근우","김태균","김경언","조인성","황선일","주현상","허도환"
"home479",2015-08-05,"SK","켈리","이명기","박정권","최정","정의윤","이재원","김강민","브라운","박계현","김성현"
"away480",2015-08-05,"KIA","김병현","신종길","김민우","필","나지완","이범호","김원섭","이홍구","김호령","박찬호"
"home480",2015-08-05,"넥센","문성현","고종욱","스나이더","유한준","박병호","김민성","윤석민","서건창","김하성","박동원"
"away481",2015-08-05,"NC","이민호","박민우","김종호","나성범","테임즈","이호준","이종욱","지석훈","손시헌","용덕한"
"home481",2015-08-05,"LG","이준형","임훈","문선재","박용택","정성훈","이진영","양석환","오지환","최경철","손주인"
"away482",2015-08-05,"두산","니퍼트","민병헌","박건우","김현수","로메로","오재원","양의지","홍성흔","오재일","김재호"
"home482",2015-08-05,"롯데","송승준","손아섭","정훈","황재균","아두치","최준석","강민호","박종윤","오승택","이우민"
"away483",2015-08-05,"삼성","클로이드","구자욱","박해민","나바로","최형우","박석민","이승엽","채태인","이지영","김상수"
"home483",2015-08-05,"kt","윤근영","오정복","이대형","마르테","김상현","장성우","박경수","박기혁","김종민","김진곤"
"away484",2015-08-06,"kt","엄상백","오정복","이대형","마르테","김상현","장성우","박경수","박기혁","김종민","김민혁"
"home484",2015-08-06,"KIA","에반","신종길","김호령","필","이범호","이홍구","오준혁","윤완주","백용환","박찬호"
"away485",2015-08-06,"LG","소사","임훈","문선재","박용택","정성훈","이진영","양석환","오지환","최경철","손주인"
"home485",2015-08-06,"한화","로저스","정근우","강경학","김경언","김태균","정현석","조인성","장운호","주현상","송주호"
"away486",2015-08-06,"롯데","박세웅","손아섭","정훈","황재균","아두치","최준석","강민호","박종윤","오승택","이우민"
"home486",2015-08-06,"NC","이태양","박민우","김종호","나성범","테임즈","조영훈","이종욱","지석훈","손시헌","김태군"
"away487",2015-08-06,"SK","박종훈","이명기","김성현","최정","정의윤","이재원","김강민","브라운","정상호","박계현"
"home487",2015-08-06,"삼성","장원삼","구자욱","박해민","나바로","최형우","박석민","이승엽","채태인","이흥련","백상원"
"away488",2015-08-06,"넥센","김택형","이택근","스나이더","유한준","박병호","김민성","윤석민","박헌도","김하성","박동원"
"home488",2015-08-06,"두산","허준혁","민병헌","박건우","김현수","로메로","양의지","홍성흔","오재원","허경민","김재호"
"away489",2015-08-07,"kt","옥스프링","오정복","이대형","마르테","김상현","장성우","박경수","김진곤","김종민","심우준"
"home489",2015-08-07,"KIA","스틴슨","신종길","김민우","필","이범호","김원섭","나지완","김호령","이홍구","박찬호"
"away490",2015-08-07,"LG","우규민","문선재","이진영","박용택","정성훈","서상우","양석환","오지환","유강남","손주인"
"home490",2015-08-07,"한화","송은범","정근우","강경학","김경언","김태균","정현석","조인성","김회성","주현상","장운호"
"away491",2015-08-07,"롯데","레일리","손아섭","정훈","황재균","아두치","최준석","박종윤","오승택","김준태","이우민"
"home491",2015-08-07,"NC","스튜어트","박민우","김종호","나성범","테임즈","이호준","이종욱","지석훈","손시헌","김태군"
"away492",2015-08-07,"SK","세든","이명기","박정권","이재원","최정","브라운","김강민","김성현","정상호","박계현"
"home492",2015-08-07,"삼성","윤성환","구자욱","박해민","나바로","최형우","박석민","이승엽","채태인","이지영","백상원"
"away493",2015-08-07,"넥센","피어밴드","고종욱","스나이더","유한준","박병호","김민성","윤석민","서건창","김하성","박동원"
"home493",2015-08-07,"두산","스와잭","민병헌","박건우","김현수","로메로","양의지","고영민","오재원","허경민","김재호"
"away494",2015-08-08,"KIA","임준혁","신종길","김민우","필","이범호","김원섭","나지완","백용환","김호령","박찬호"
"home494",2015-08-08,"NC","해커","박민우","김종호","나성범","테임즈","이호준","이종욱","지석훈","손시헌","김태군"
"away495",2015-08-08,"kt","정대현","오정복","이대형","마르테","김상현","장성우","박경수","박기혁","배병옥","이창진"
"home495",2015-08-08,"SK","김광현","이명기","김성현","이재원","브라운","최정","박정권","김강민","정의윤","박계현"
"away496",2015-08-08,"LG","루카스","임훈","문선재","박용택","양석환","이진영","채은성","오지환","유강남","손주인"
"home496",2015-08-08,"두산","장원준","민병헌","허경민","김현수","로메로","양의지","오재일","최주환","국해성","김재호"
"away497",2015-08-08,"롯데","이재곤","손아섭","정훈","황재균","아두치","최준석","강민호","박종윤","오승택","이우민"
"home497",2015-08-08,"한화","안영명","정근우","강경학","김경언","김태균","정현석","김회성","장운호","주현상","허도환"
"away498",2015-08-09,"KIA","양현종","신종길","김민우","필","이범호","김원섭","나지완","백용환","김호령","박찬호"
"home498",2015-08-09,"NC","이재학","박민우","김성욱","나성범","테임즈","이호준","모창민","손시헌","김태군","최재원"
"away499",2015-08-09,"kt","저마노","오정복","이대형","마르테","김상현","장성우","박경수","장성호","박기혁","김민혁"
"home499",2015-08-09,"SK","채병용","이명기","김성현","이재원","브라운","최정","박정권","김강민","정상호","최정민"
"away500",2015-08-09,"LG","류제국","임훈","정성훈","박용택","서상우","이진영","양석환","오지환","유강남","손주인"
"home500",2015-08-09,"두산","유희관","민병헌","박건우","오재원","김현수","양의지","로메로","허경민","정수빈","김재호"
"away501",2015-08-09,"롯데","린드블럼","손아섭","정훈","황재균","아두치","최준석","강민호","박종윤","오승택","이우민"
"home501",2015-08-09,"한화","배영수","정근우","강경학","김경언","김태균","정현석","김회성","장운호","조인성","주현상"
"away502",2015-08-09,"넥센","밴헤켄","김하성","고종욱","유한준","박병호","김민성","윤석민","이택근","박헌도","박동원"
"home502",2015-08-09,"삼성","차우찬","구자욱","박해민","나바로","최형우","박석민","채태인","이상훈","이흥련","백상원"
"away503",2015-08-10,"넥센","금민철","고종욱","스나이더","유한준","박병호","김민성","윤석민","서건창","김하성","박동원"
"home503",2015-08-10,"삼성","피가로","구자욱","박해민","나바로","최형우","박석민","채태인","이상훈","이흥련","백상원"
"away504",2015-08-11,"한화","로저스","정근우","강경학","김경언","김태균","정현석","김회성","조인성","장운호","주현상"
"home504",2015-08-11,"kt","윤근영","오정복","이대형","마르테","장성호","장성우","박경수","김상현","박기혁","김진곤"
"away505",2015-08-11,"NC","이민호","박민우","김종호","나성범","테임즈","이호준","이종욱","지석훈","손시헌","용덕한"
"home505",2015-08-11,"넥센","송신영","고종욱","스나이더","유한준","박병호","김민성","윤석민","서건창","김하성","박동원"
"away506",2015-08-11,"SK","켈리","이명기","박재상","최정","박정권","이재원","김강민","브라운","박계현","김성현"
"home506",2015-08-11,"롯데","송승준","손아섭","정훈","황재균","아두치","최준석","강민호","박종윤","오승택","이우민"
"away507",2015-08-11,"삼성","클로이드","구자욱","박해민","나바로","최형우","박석민","채태인","이영욱","이지영","김상수"
"home507",2015-08-11,"LG","김광삼","임훈","정성훈","박용택","서상우","이진영","양석환","오지환","유강남","손주인"
"away508",2015-08-12,"한화","송창식","정근우","강경학","김경언","김태균","정현석","최진행","정범모","권용관","장운호"
"home508",2015-08-12,"kt","주권","오정복","이대형","마르테","장성호","장성우","박경수","김상현","박기혁","김민혁"
"away509",2015-08-12,"NC","이태양","최재원","모창민","나성범","테임즈","이호준","김성욱","손시헌","지석훈","김태군"
"home509",2015-08-12,"넥센","김택형","고종욱","스나이더","유한준","박병호","김민성","윤석민","서건창","김하성","박동원"
"away510",2015-08-12,"두산","니퍼트","민병헌","정수빈","오재원","김현수","양의지","로메로","허경민","김재환","김재호"
"home510",2015-08-12,"KIA","김병현","신종길","김민우","필","이범호","김원섭","나지완","백용환","김호령","박찬호"
"away511",2015-08-12,"삼성","장원삼","구자욱","박해민","나바로","최형우","박석민","채태인","최선호","이흥련","김상수"
"home511",2015-08-12,"LG","우규민","문선재","정성훈","박용택","서상우","이진영","양석환","오지환","유강남","손주인"
"away512",2015-08-13,"한화","송은범","정근우","강경학","김경언","김태균","정현석","최진행","조인성","장운호","주현상"
"home512",2015-08-13,"넥센","피어밴드","고종욱","스나이더","유한준","박병호","김민성","이택근","서건창","김하성","김재현"
"away513",2015-08-13,"LG","루카스","임훈","정성훈","박용택","서상우","이진영","오지환","양석환","유강남","박지규"
"home513",2015-08-13,"SK","박종훈","이명기","박재상","이재원","박정권","브라운","김강민","김성현","안정광","최정민"
"away514",2015-08-13,"롯데","박세웅","정훈","이우민","황재균","아두치","최준석","강민호","박종윤","오승택","김주현"
"home514",2015-08-13,"kt","옥스프링","오정복","이대형","마르테","김상현","장성호","박경수","장성우","박기혁","김민혁"
"away515",2015-08-13,"NC","스튜어트","박민우","김종호","나성범","테임즈","이호준","이종욱","손시헌","지석훈","김태군"
"home515",2015-08-13,"두산","스와잭","허경민","정수빈","민병헌","김현수","양의지","로메로","김재환","최주환","김재호"
"away516",2015-08-13,"삼성","윤성환","구자욱","박해민","나바로","최형우","박석민","채태인","최선호","이지영","김상수"
"home516",2015-08-13,"KIA","스틴슨","신종길","윤완주","이범호","백용환","김원섭","나지완","김민우","황대인","김호령"
"away517",2015-08-14,"한화","안영명","정근우","강경학","정현석","김태균","김경언","최진행","장운호","정범모","주현상"
"home517",2015-08-14,"넥센","밴헤켄","서건창","스나이더","유한준","박병호","김민성","윤석민","이택근","김지수","박동원"
"away518",2015-08-14,"LG","이준형","임훈","정성훈","박용택","히메네스","양석환","문선재","오지환","최경철","손주인"
"home518",2015-08-14,"SK","김광현","이명기","박계현","이재원","정의윤","박정권","김강민","브라운","최정민","김성현"
"away519",2015-08-14,"롯데","이재곤","정훈","이우민","황재균","아두치","최준석","강민호","박종윤","오승택","김주현"
"home519",2015-08-14,"kt","정대현","오정복","이대형","마르테","김상현","박경수","장성우","문상철","박기혁","김진곤"
"away520",2015-08-14,"NC","해커","박민우","김종호","나성범","테임즈","이호준","이종욱","손시헌","지석훈","김태군"
"home520",2015-08-14,"두산","장원준","허경민","정수빈","민병헌","김현수","양의지","로메로","최주환","정진호","김재호"
"away521",2015-08-14,"삼성","정인욱","구자욱","박해민","나바로","최형우","박석민","채태인","최선호","이흥련","김상수"
"home521",2015-08-14,"KIA","임준혁","신종길","김민우","필","이범호","김원섭","나지완","김호령","이홍구","박찬호"
"away522",2015-08-15,"한화","김민우","정근우","강경학","최진행","김태균","김경언","정현석","권용관","조인성","장운호"
"home522",2015-08-15,"삼성","차우찬","구자욱","박해민","나바로","최형우","박석민","채태인","박한이","이흥련","김상수"
"away523",2015-08-15,"KIA","양현종","신종길","김민우","필","이범호","김원섭","나지완","김호령","백용환","박찬호"
"home523",2015-08-15,"LG","류제국","임훈","문선재","박용택","히메네스","이진영","양석환","오지환","유강남","손주인"
"away524",2015-08-15,"kt","저마노","오정복","이대형","마르테","김상현","장성우","신명철","박기혁","김영환","김민혁"
"home524",2015-08-15,"NC","이재학","이종욱","김종호","박민우","테임즈","나성범","이호준","손시헌","지석훈","김태군"
"away525",2015-08-15,"롯데","린드블럼","손아섭","이우민","황재균","아두치","최준석","강민호","박종윤","정훈","문규현"
"home525",2015-08-15,"넥센","문성현","서건창","스나이더","유한준","박병호","김민성","이택근","고종욱","김하성","박동원"
"away526",2015-08-15,"두산","허준혁","허경민","정수빈","민병헌","김현수","양의지","로메로","유민상","최주환","김재호"
"home526",2015-08-15,"SK","윤희상","김강민","박정권","이명기","정의윤","이재원","브라운","김성현","최정민","박계현"
"away527",2015-08-16,"한화","로저스","정근우","강경학","김경언","김태균","최진행","정현석","고동진","조인성","신성현"
"home527",2015-08-16,"삼성","피가로","구자욱","박해민","나바로","최형우","박석민","채태인","박한이","이지영","김상수"
"away528",2015-08-16,"kt","윤근영","오정복","이대형","마르테","김상현","장성우","박경수","김민혁","박기혁","김진곤"
"home528",2015-08-16,"NC","이민호","이종욱","김종호","박민우","테임즈","나성범","조영훈","손시헌","지석훈","용덕한"
