name,year,team,TBF,IP,HA,HRA,BBA,HBPA,SOA,RA,ER,ERA,WHIP,SOAPER,BBAPER,LOBPER
가득염,2010,SK,60,16.333,14,1,10,0,12,9,8,4.41,1.47,1.333,1.111,0.708
강동연,2013,두산,7,2,1,0,0,0,1,1,0,0,0.5,0.111,0,1
강동연,2014,두산,8,1,5,1,0,0,3,3,3,27,5,0.333,0,0.556
강승현,2013,롯데,8,2,3,0,1,0,2,3,2,9,2,0.222,0.111,0.5
강승현,2014,롯데,34,5.667,18,2,2,0,3,19,16,25.41,3.53,0.333,0.222,0.233
강영식,2010,롯데,199,52.667,50,6,24,1,58,28,26,4.44,1.41,6.444,2.667,0.736
강영식,2011,롯데,150,41,35,5,22,2,39,16,16,3.51,1.39,4.333,2.444,0.827
강영식,2012,롯데,159,41.667,41,2,19,0,49,19,18,3.89,1.44,5.444,2.111,0.734
강영식,2013,롯데,141,39.667,32,1,19,2,40,17,17,3.86,1.29,4.444,2.111,0.698
강영식,2014,롯데,173,47,46,4,24,2,42,25,25,4.79,1.49,4.667,2.667,0.708
강윤구,2010,넥센,56,15,15,2,13,1,11,13,12,7.2,1.87,1.222,1.444,0.649
강윤구,2011,넥센,69,21,15,0,11,0,11,5,5,2.14,1.24,1.222,1.222,0.808
강윤구,2012,넥센,433,125.667,89,14,74,7,127,58,57,4.08,1.3,14.111,8.222,0.751
강윤구,2013,넥센,470,130,112,6,75,8,131,69,63,4.36,1.44,14.556,8.333,0.707
강윤구,2014,넥센,177,42,60,17,32,1,36,43,36,7.71,2.19,4,3.556,0.824
강철민,2010,LG,39,11.667,8,2,8,1,10,7,7,5.4,1.37,1.111,0.889,0.704
경헌호,2011,LG,25,7,4,0,0,1,1,3,2,2.57,0.57,0.111,0,0.6
고든,2011,SK,278,75.667,68,3,20,4,70,34,32,3.81,1.16,7.778,2.222,0.683
고든,2012,삼성,500,128,144,10,38,2,80,61,56,3.94,1.42,8.889,4.222,0.753
고우석,2011,KIA,3,1.333,0,0,2,0,2,0,0,0,1.5,0.222,0.222,1
고우석,2012,KIA,28,6.667,9,0,5,0,9,4,4,5.4,2.1,1,0.556,0.714
고원준,2010,넥센,483,131,123,15,61,12,87,64,60,4.12,1.4,9.667,6.778,0.777
고원준,2011,롯데,580,152.667,163,15,59,6,85,77,71,4.19,1.45,9.444,6.556,0.758
고원준,2012,롯데,372,95.333,109,7,43,11,45,52,45,4.25,1.59,5,4.778,0.77
고원준,2013,롯데,200,51.333,64,4,22,3,26,37,32,5.61,1.68,2.889,2.444,0.683
고창성,2010,두산,300,82,68,7,16,11,67,37,33,3.62,1.02,7.444,1.778,0.728
고창성,2011,두산,187,50.667,50,4,24,7,40,27,25,4.44,1.46,4.444,2.667,0.743
고창성,2012,두산,62,15.667,22,2,7,3,5,15,15,8.62,1.85,0.556,0.778,0.582
고창성,2013,NC,86,20.667,27,0,12,5,13,12,11,4.79,1.89,1.444,1.333,0.75
고창성,2014,NC,96,25,25,1,7,3,11,9,5,1.8,1.28,1.222,0.778,0.893
고효준,2010,SK,403,106.667,106,16,61,5,101,68,61,5.15,1.57,11.222,6.778,0.742
고효준,2011,SK,373,105.667,87,4,69,6,89,55,50,4.26,1.48,9.889,7.667,0.716
고효준,2014,SK,207,51,67,11,38,5,40,57,52,9.18,2.06,4.444,4.222,0.613
곤잘레,2010,LG,176,43.333,49,4,21,5,23,40,37,7.68,1.62,2.556,2.333,0.548
곽동훈,2011,삼성,7,1.333,3,1,0,0,0,3,3,20.25,2.25,0,0,0
곽정철,2010,KIA,224,58,62,6,24,3,70,38,36,5.59,1.48,7.778,2.667,0.658
곽정철,2011,KIA,81,20.667,21,4,11,2,27,12,11,4.79,1.55,3,1.222,0.81
구대성,2010,한화,22,4.667,7,2,3,0,3,6,5,9.64,2.14,0.333,0.333,0.694
구본범,2014,한화,18,3.667,8,1,0,0,2,5,5,12.27,2.18,0.222,0,0.455
구승민,2014,롯데,1,0.667,0,0,0,0,1,0,0,0,0,0.111,0,NA
구자운,2010,삼성,10,3,1,0,3,0,3,2,2,6,1.33,0.333,0.333,0.5
권오준,2011,삼성,187,48.333,48,2,10,2,52,17,15,2.79,1.2,5.778,1.111,0.787
권오준,2012,삼성,155,42.667,32,2,13,0,48,15,14,2.95,1.05,5.333,1.444,0.735
권오준,2014,삼성,5,1,3,0,0,0,0,2,2,18,3,0,0,0.333
권혁,2010,삼성,254,73.333,54,6,19,2,73,18,17,2.09,1,8.111,2.111,0.871
권혁,2011,삼성,173,48.333,38,2,22,2,27,19,15,2.79,1.24,3,2.444,0.794
권혁,2012,삼성,182,49.333,48,2,20,1,38,18,17,3.1,1.38,4.222,2.222,0.785
권혁,2013,삼성,141,36.333,35,5,16,1,41,17,16,3.96,1.4,4.556,1.778,0.8
권혁,2014,삼성,125,34.667,27,4,11,0,38,13,11,2.86,1.1,4.222,1.222,0.833
글로버,2010,SK,405,105,113,18,50,5,85,71,66,5.66,1.55,9.444,5.556,0.714
글로버,2011,SK,454,121,115,11,41,9,122,65,57,4.24,1.29,13.556,4.556,0.722
금민철,2010,넥센,435,120.667,118,10,71,15,86,63,59,4.4,1.57,9.556,7.889,0.763
금민철,2011,넥센,116,32.333,31,3,31,4,16,28,19,5.29,1.92,1.778,3.444,0.761
금민철,2014,넥센,166,41.667,51,4,30,7,24,35,28,6.05,1.94,2.667,3.333,0.728
김강률,2011,두산,100,25.333,30,2,13,1,20,11,11,3.91,1.7,2.222,1.444,0.801
김강률,2012,두산,121,34.333,28,1,17,2,27,11,11,2.88,1.31,3,1.889,0.789
김강률,2013,두산,74,19.667,18,1,17,0,17,8,7,3.2,1.78,1.889,1.889,0.833
김강률,2014,두산,71,16.667,25,5,7,0,13,16,15,8.1,1.92,1.444,0.778,0.68
김건한,2010,KIA,310,77,87,5,34,7,61,53,45,5.26,1.57,6.778,3.778,0.686
김건한,2011,KIA,247,67.333,67,5,30,9,42,39,38,5.08,1.44,4.667,3.333,0.687
김건한,2012,삼성,137,34,41,2,15,3,27,23,20,5.29,1.65,3,1.667,0.694
김건한,2013,삼성,72,14.333,31,1,11,0,12,20,20,12.56,2.93,1.333,1.222,0.542
김건한,2014,삼성,147,36.333,42,2,9,8,23,27,22,5.45,1.4,2.556,1,0.658
김경태,2011,한화,3,1,0,0,0,0,3,0,0,0,0,0.333,0,NA
김경태,2012,한화,6,1.667,1,0,3,0,0,1,1,5.4,2.4,0,0.333,0.75
김경태,2013,한화,84,23.333,21,1,21,5,15,20,17,6.56,1.8,1.667,2.333,0.658
김광삼,2010,LG,423,111,125,10,50,14,60,74,70,5.68,1.58,6.667,5.556,0.68
김광삼,2011,LG,361,93,108,8,41,4,41,58,49,4.74,1.6,4.556,4.556,0.733
김광삼,2012,LG,405,104.333,114,3,38,9,46,63,57,4.92,1.46,5.111,4.222,0.663
김광수,2010,LG,296,76.667,90,5,31,5,71,33,29,3.4,1.58,7.889,3.444,0.815
김광수,2011,한화,154,37.667,53,3,24,2,24,20,20,4.78,2.04,2.667,2.667,0.789
김광수,2012,한화,74,15.667,30,2,5,1,11,15,14,8.04,2.23,1.222,0.556,0.663
김광수,2013,한화,262,67.667,75,3,16,6,41,45,43,5.72,1.34,4.556,1.778,0.582
김광수,2014,한화,3,0,3,1,0,0,0,3,3,NA,NA,0,0,0
김광현,2010,SK,693,193.667,153,13,84,5,183,56,51,2.37,1.22,20.333,9.333,0.853
김광현,2011,SK,277,74.333,70,6,45,2,61,45,40,4.84,1.55,6.778,5,0.709
김광현,2012,SK,296,81.667,85,9,36,2,65,44,39,4.3,1.48,7.222,4,0.761
김광현,2013,SK,494,133,128,12,68,4,102,72,66,4.47,1.47,11.333,7.556,0.731
김광현,2014,SK,650,173.667,178,10,81,3,145,77,66,3.42,1.49,16.111,9,0.79
김기태,2012,삼성,23,5,8,0,1,0,2,4,4,7.2,1.8,0.222,0.111,0.556
김기태,2013,삼성,18,4.333,5,0,5,0,2,5,4,8.31,2.31,0.222,0.556,0.6
김기태,2014,삼성,39,8.667,13,2,1,0,8,7,7,7.27,1.62,0.889,0.111,0.625
김기표,2010,LG,156,42.667,41,2,13,8,24,21,21,4.43,1.27,2.667,1.444,0.693
김기표,2011,LG,25,5,11,1,1,0,2,7,7,12.6,2.4,0.222,0.111,0.472
김기표,2012,LG,101,26.667,27,2,7,3,13,10,9,3.04,1.28,1.444,0.778,0.819
김기표,2013,LG,14,3.333,3,0,0,0,1,0,0,0,0.9,0.111,0,1
김기표,2014,LG,9,2,2,2,0,1,1,3,3,13.5,1,0.111,0,0
김기현,2014,한화,107,23.333,38,9,7,1,15,21,15,5.79,1.93,1.667,0.778,0.928
김대우,2010,롯데,35,7.667,15,2,3,0,4,12,12,14.09,2.35,0.444,0.333,0.395
김대우,2011,넥센,101,27,26,0,19,4,28,20,18,6,1.67,3.111,2.111,0.633
김대우,2014,넥센,287,73.667,88,9,45,8,66,48,45,5.5,1.81,7.333,5,0.748
김대유,2014,SK,43,11.667,12,1,19,1,14,13,13,10.03,2.66,1.556,2.111,0.621
김동준,2014,넥센,24,6,6,1,8,0,2,4,4,6,2.33,0.222,0.889,0.794
김명성,2011,롯데,37,7.667,14,3,2,0,3,8,8,9.39,2.09,0.333,0.222,0.678
김명성,2013,두산,39,11,7,0,7,0,9,5,5,4.09,1.27,1,0.778,0.643
김명성,2014,두산,25,7.667,4,1,2,0,3,2,2,2.35,0.78,0.333,0.222,0.87
김병현,2012,넥센,240,62,65,6,34,14,43,44,39,5.66,1.6,4.778,3.778,0.707
김병현,2013,넥센,279,75.333,71,7,36,13,43,46,44,5.26,1.42,4.778,4,0.69
김병현,2014,KIA,282,71,88,5,27,13,66,58,56,7.1,1.62,7.333,3,0.595
김사율,2010,롯데,220,57.667,59,4,25,5,38,28,24,3.75,1.46,4.222,2.778,0.779
김사율,2011,롯데,249,66.333,60,4,22,2,54,27,24,3.26,1.24,6,2.444,0.765
김사율,2012,롯데,175,45.333,45,4,11,2,43,16,15,2.98,1.24,4.778,1.222,0.821
김사율,2013,롯데,277,74.333,74,11,34,2,47,35,33,4,1.45,5.222,3.778,0.814
김사율,2014,롯데,314,79.333,95,13,30,3,71,55,51,5.79,1.58,7.889,3.333,0.701
김상수,2010,넥센,175,45,52,5,26,2,35,33,31,6.2,1.73,3.889,2.889,0.671
김상수,2011,넥센,233,59.667,68,3,36,9,74,44,43,6.49,1.74,8.222,4,0.643
김상수,2012,넥센,162,45.667,42,4,39,2,36,24,24,4.73,1.77,4,4.333,0.762
김상수,2013,넥센,102,28.333,27,1,13,2,20,16,16,5.08,1.41,2.222,1.444,0.64
김선규,2010,LG,100,27.333,30,2,14,3,14,19,18,5.93,1.61,1.556,1.556,0.656
김선규,2011,LG,251,66.667,66,4,22,6,28,34,31,4.19,1.32,3.111,2.444,0.713
김선규,2012,LG,66,15.667,23,1,8,2,6,10,10,5.74,1.98,0.667,0.889,0.728
김선규,2013,LG,108,29,31,2,8,5,9,10,9,2.79,1.34,1,0.889,0.85
김선규,2014,LG,77,17.667,25,2,9,6,7,21,14,7.13,1.92,0.778,1,0.699
김선우,2010,두산,589,154.667,163,12,50,8,128,77,69,4.02,1.38,14.222,5.556,0.744
김선우,2011,두산,669,175.667,188,12,35,6,89,68,61,3.13,1.27,9.889,3.889,0.792
김선우,2012,두산,20,5,6,0,0,0,2,0,0,0,1.2,0.222,0,1
김선우,2013,두산,235,60.333,77,6,18,7,20,41,37,5.52,1.57,2.222,2,0.694
김선우,2014,LG,38,8.333,14,2,4,1,3,13,13,14.04,2.16,0.333,0.444,0.37
김선우,2014,두산,623,163.333,182,13,41,8,63,91,82,4.52,1.37,7,4.556,0.7
김성계,2012,KIA,3,1,1,0,0,0,0,0,0,0,1,0,0,1
김성배,2010,넥센,242,66,60,9,22,2,45,35,29,3.95,1.24,5,2.444,0.77
김성배,2010,두산,74,19.333,21,2,5,2,9,13,12,5.59,1.34,1,0.556,0.635
김성배,2011,넥센,341,89.667,89,8,38,3,71,51,48,4.82,1.42,7.889,4.222,0.69
김성배,2011,두산,202,52,66,4,20,1,29,38,34,5.88,1.65,3.222,2.222,0.651
김성배,2012,롯데,193,53.333,46,2,20,4,33,20,19,3.21,1.24,3.667,2.222,0.759
김성배,2013,롯데,213,59,45,1,21,3,58,20,20,3.05,1.12,6.444,2.333,0.725
김성배,2014,롯데,171,40.667,54,7,22,2,32,28,27,5.98,1.87,3.556,2.444,0.748
김성현,2010,넥센,336,90,91,10,41,1,60,51,49,4.9,1.47,6.667,4.556,0.706
김성현,2011,LG,444,117.667,128,10,67,2,68,75,71,5.43,1.66,7.556,7.444,0.689
김성호,2012,롯데,5,11.667,2,1,2,1,1,2,2,10.8,2.4,0.111,0.222,0.833
김수경,2010,넥센,19,3.333,9,1,3,0,4,5,5,13.5,3.6,0.444,0.333,0.66
김수경,2011,넥센,262,69,65,6,22,2,37,27,26,3.39,1.26,4.111,2.444,0.782
김수경,2012,넥센,51,12.667,19,0,4,1,5,3,3,2.13,1.82,0.556,0.444,0.875
김수완,2010,롯데,239,63.667,61,9,16,5,44,32,28,3.96,1.21,4.889,1.778,0.778
김수완,2011,롯데,143,35,46,2,17,1,29,29,26,6.69,1.8,3.222,1.889,0.621
김수완,2012,롯데,151,40.667,37,3,13,1,24,20,17,3.76,1.23,2.667,1.444,0.726
김수완,2013,롯데,188,50.667,57,4,25,2,22,28,23,4.09,1.62,2.444,2.778,0.778
김수완,2014,두산,11,1.333,7,0,1,0,0,5,5,33.75,6,0,0.111,0.375
김승회,2010,두산,149,40.333,38,6,10,2,26,20,19,4.24,1.19,2.889,1.111,0.745
김승회,2011,두산,240,65.333,61,7,33,6,53,39,34,4.68,1.44,5.889,3.667,0.732
김승회,2012,두산,438,120.333,109,9,38,4,62,62,54,4.04,1.22,6.889,4.222,0.701
김승회,2013,롯데,298,73,92,6,29,3,54,49,43,5.3,1.66,6,3.222,0.701
김승회,2014,롯데,201,56,47,4,18,3,40,19,19,3.05,1.16,4.444,2,0.785
김영민,2011,넥센,86,22.667,27,1,15,5,10,17,15,5.96,1.85,1.111,1.667,0.702
김영민,2012,넥센,467,121,143,9,70,3,90,68,63,4.69,1.76,10,7.778,0.752
김영민,2013,넥센,399,101.333,119,7,48,3,55,62,58,5.15,1.65,6.111,5.333,0.699
김영민,2014,넥센,181,45,62,3,29,5,33,43,40,8,2.02,3.667,3.222,0.61
김용주,2010,한화,10,2,6,2,5,1,1,9,9,40.5,5.5,0.111,0.556,0.326
김용주,2013,한화,28,7,8,0,4,0,9,4,3,3.86,1.71,1,0.444,0.75
김원형,2010,SK,11,2.333,3,0,0,0,0,2,0,0,1.29,0,0,1
김유영,2014,롯데,29,7.667,8,0,7,0,2,5,5,5.87,1.96,0.222,0.778,0.667
김윤동,2013,KIA,3,0,3,0,2,0,0,2,2,NA,NA,0,0.222,0.6
김일엽,2010,롯데,169,44.333,46,9,12,3,33,24,24,4.87,1.31,3.667,1.333,0.764
김일엽,2011,롯데,110,28.667,31,3,11,3,21,15,15,4.71,1.47,2.333,1.222,0.735
김일엽,2012,롯데,6,0.667,4,0,1,0,0,4,3,40.5,7.5,0,0.111,0.4
김일엽,2013,한화,29,6.667,9,0,6,3,2,7,7,9.45,2.25,0.222,0.667,0.611
김재현,2010,한화,35,8.667,10,2,2,2,8,5,5,5.19,1.38,0.889,0.222,0.804
김정훈,2010,넥센,30,7.667,10,1,4,1,5,8,8,9.39,1.83,0.556,0.444,0.515
김정훈,2012,넥센,36,10,10,1,5,1,7,8,4,3.6,1.5,0.778,0.556,0.822
김종훈,2012,KIA,23,5.667,9,1,6,0,5,4,4,6.35,2.65,0.556,0.667,0.809
김준,2012,SK,13,3,4,0,1,0,3,0,0,0,1.67,0.333,0.111,1
김준,2013,SK,25,6.333,6,0,2,0,1,2,2,2.84,1.26,0.111,0.222,0.75
김준,2014,KIA,0,0,0,0,1,0,0,0,0,NA,NA,0,0.111,1
김지용,2010,LG,29,8,10,2,3,0,5,7,7,7.88,1.63,0.556,0.333,0.588
김지훈,2014,KIA,53,12.667,19,2,9,0,7,12,12,8.53,2.21,0.778,1,0.635
김진성,2013,NC,123,34,32,5,17,2,28,20,18,4.76,1.44,3.111,1.889,0.75
김진성,2014,NC,180,48.333,40,4,26,2,52,25,22,4.1,1.37,5.778,2.889,0.737
김진우,2011,KIA,33,8.667,6,0,7,1,12,5,5,5.19,1.5,1.333,0.778,0.643
김진우,2013,KIA,503,126.333,147,8,49,13,130,77,70,4.99,1.55,14.444,5.444,0.703
김진우,2014,KIA,348,90.667,100,8,61,7,85,66,60,5.96,1.78,9.444,6.778,0.689
김창훈,2010,두산,27,7.667,4,2,3,0,8,3,3,3.52,0.91,0.889,0.333,0.952
김창훈,2011,두산,47,12.667,11,2,10,2,11,9,9,6.39,1.66,1.222,1.111,0.693
김창훈,2012,두산,66,21.667,9,0,12,2,15,5,5,2.08,0.97,1.667,1.333,0.783
김창훈,2013,두산,10,2.667,4,1,3,1,3,1,1,3.38,2.63,0.333,0.333,1.061
김태영,2011,두산,247,63.667,71,5,20,3,41,30,28,3.96,1.43,4.556,2.222,0.759
김태영,2012,두산,65,17,14,1,8,0,15,6,6,3.18,1.29,1.667,0.889,0.777
김태영,2013,두산,259,67,78,5,23,5,36,46,44,5.91,1.51,4,2.556,0.626
김태영,2014,KIA,201,50.667,56,6,17,5,45,34,32,5.68,1.44,5,1.889,0.661
김태훈,2010,SK,0,0,0,0,1,0,0,0,0,NA,NA,0,0.111,1
김태훈,2011,SK,69,18,18,0,11,1,15,8,8,4,1.61,1.667,1.222,0.733
김태훈,2012,SK,37,8.667,12,0,10,1,6,11,9,9.35,2.54,0.667,1.111,0.609
김혁민,2010,한화,146,40.333,36,7,37,3,21,32,31,6.92,1.81,2.333,4.111,0.68
김혁민,2011,한화,489,128.667,132,18,56,2,109,78,71,4.97,1.46,12.111,6.222,0.722
김혁민,2013,한화,548,146.667,142,25,60,12,96,93,88,5.4,1.38,10.667,6.667,0.704
김혁민,2014,한화,539,146.333,137,9,45,9,102,69,66,4.06,1.24,11.333,5,0.701
김현우,2010,삼성,6,1.667,1,1,1,0,2,1,1,5.4,1.2,0.222,0.111,1.667
김현우,2013,삼성,49,13,11,2,6,0,18,5,5,3.46,1.31,2,0.667,0.845
김현우,2014,삼성,111,31,25,4,8,1,29,8,8,2.32,1.06,3.222,0.889,0.915
김효남,2010,삼성,94,24,24,2,13,1,16,15,11,4.13,1.54,1.778,1.444,0.767
김효남,2011,삼성,14,4.333,4,0,1,0,4,0,0,0,1.15,0.444,0.111,1
김효남,2012,삼성,63,16.333,17,2,3,1,13,5,5,2.76,1.22,1.444,0.333,0.879
김효남,2013,LG,10,3.333,1,0,1,0,2,1,1,2.7,0.6,0.222,0.111,0.5
나승현,2010,롯데,19,2.333,12,2,2,1,2,10,10,38.57,6,0.222,0.222,0.41
나이트,2010,삼성,318,83.333,87,5,42,2,66,47,42,4.54,1.55,7.333,4.667,0.718
나이트,2011,넥센,628,172.333,169,12,98,12,115,98,90,4.7,1.55,12.778,10.889,0.721
나이트,2012,넥센,750,208.667,180,6,53,7,102,60,51,2.2,1.12,11.333,5.889,0.816
나이트,2013,넥센,660,172.667,192,10,79,14,129,96,85,4.43,1.57,14.333,8.778,0.738
나이트,2014,넥센,116,29.333,36,5,22,1,19,22,18,5.52,1.98,2.111,2.444,0.788
노경은,2010,두산,44,9.333,17,1,1,1,8,14,14,13.5,1.93,0.889,0.111,0.284
노경은,2011,두산,243,62.667,71,3,36,2,53,39,36,5.17,1.71,5.889,4,0.697
노경은,2013,두산,672,180.333,171,16,75,6,153,88,77,3.84,1.36,17,8.333,0.762
노경은,2014,두산,519,146,106,6,69,8,133,46,41,2.53,1.2,14.778,7.667,0.813
노성호,2013,NC,219,58,64,9,38,2,62,50,47,7.29,1.76,6.889,4.222,0.624
노성호,2014,NC,178,48.333,44,6,28,2,37,25,24,4.47,1.49,4.111,3.111,0.762
노진용,2014,삼성,2,0.333,1,1,0,0,1,1,1,27,3,0.111,0,0
니코스,2010,넥센,123,32.333,38,3,17,5,25,24,24,6.68,1.7,2.778,1.889,0.645
니퍼트,2011,두산,668,187,150,8,64,10,150,61,53,2.55,1.14,16.667,7.111,0.804
니퍼트,2012,두산,691,194,156,15,68,8,126,70,69,3.2,1.15,14,7.556,0.773
니퍼트,2013,두산,438,118,108,7,34,4,104,52,47,3.58,1.2,11.556,3.778,0.727
니퍼트,2014,두산,692,179.333,186,17,48,6,158,83,76,3.81,1.3,17.556,5.333,0.759
더마트,2010,LG,250,61.333,83,10,37,3,29,58,56,8.22,1.96,3.222,4.111,0.615
데폴라,2010,한화,493,131.667,133,8,58,10,68,74,67,4.58,1.45,7.556,6.444,0.706
데폴라,2011,한화,170,44.333,51,3,24,5,34,29,27,5.48,1.69,3.778,2.667,0.699
라미레,2012,KIA,45,11.667,15,1,3,0,5,5,5,3.86,1.54,0.556,0.333,0.783
라이트,2010,KIA,32,9,5,0,9,2,12,5,5,5,1.56,1.333,1,0.688
레딩,2010,삼성,129,35.333,40,2,11,2,19,20,20,5.09,1.44,2.111,1.222,0.657
레이예,2013,SK,630,173,157,15,91,7,135,99,93,4.84,1.43,15,10.111,0.692
레이예,2014,SK,319,78.333,103,10,38,3,41,64,57,6.55,1.8,4.556,4.222,0.669
로드리,2013,삼성,210,57.333,49,6,30,2,46,29,28,4.4,1.38,5.111,3.333,0.73
로페즈,2010,KIA,639,166,180,22,43,8,83,92,86,4.66,1.34,9.222,4.778,0.724
로페즈,2011,KIA,580,153.667,153,14,26,9,106,71,68,3.98,1.16,11.778,2.889,0.713
로페즈,2012,SK,106,28,26,3,3,1,13,13,12,3.86,1.04,1.444,0.333,0.698
류제국,2013,LG,417,111.667,109,11,50,9,88,50,48,3.87,1.42,9.778,5.556,0.786
류제국,2014,LG,581,147.667,146,13,58,13,128,100,84,5.12,1.38,14.222,6.444,0.669
류택현,2010,LG,23,4.667,10,0,4,1,3,6,4,7.71,3,0.333,0.444,0.733
류택현,2012,LG,86,24.333,20,2,8,1,15,9,9,3.33,1.15,1.667,0.889,0.763
류택현,2013,LG,112,29.333,31,2,6,2,23,10,10,3.07,1.26,2.556,0.667,0.801
류택현,2014,LG,5,1,3,2,0,1,0,3,3,27,3,0,0,0.833
류현진,2010,한화,677,192.667,149,11,45,9,187,42,39,1.82,1.01,20.778,5,0.874
류현진,2011,한화,466,126,101,12,38,1,128,54,47,3.36,1.1,14.222,4.222,0.755
류현진,2014,한화,659,182.667,153,12,46,5,210,58,54,2.66,1.09,23.333,5.111,0.801
리오단,2014,LG,646,168,177,13,37,10,77,80,74,3.96,1.27,8.556,4.111,0.729
리즈,2011,LG,600,164.667,149,11,84,15,122,79,71,3.88,1.41,13.556,9.333,0.761
리즈,2012,LG,556,151.333,138,6,68,9,144,68,62,3.69,1.36,16,7.556,0.741
리즈,2013,LG,713,202.667,153,11,88,20,188,78,69,3.06,1.19,20.889,9.778,0.782
