,Year,Coach,Rank,G,W,L,D,WR,AB,R,H,HR,SB,SH,SF,BB,HB,SO,AVG,CG,SHO,IP,HA,HRA,BBA,HBA,K,AR,ER,ERA,E,FA
LOT,1985,°­º´Ã¶,2,110,59,51,0,0.536,3598,426,920,77,79,106,34,352,47,445,0.256,32,15,992.33,936,60,324,44,513,420,336,3.05,111,0.975
LOT,1986,°­º´Ã¶,5,108,50,52,6,0.490,3603,373,894,37,89,100,19,342,24,357,0.248,33,6,983.66,896,48,325,49,520,360,299,2.74,94,0.979
LOT,1987,¼º±â¿µ,3,108,54,49,5,0.523,3625,432,970,40,99,86,20,390,34,330,0.268,51,14,975.66,971,40,331,34,504,404,364,3.36,77,0.982
LOT,1988,¾î¿ìÈ«,3,108,57,49,2,0.537,3578,482,967,68,127,104,24,347,40,333,0.27,30,9,969.33,968,56,330,32,477,449,391,3.63,92,0.979
LOT,1989,¾î¿ìÈ«,7,120,48,67,5,0.421,3939,419,974,38,100,98,27,519,29,520,0.247,36,7,1076,1072,68,390,50,508,522,467,3.91,99,0.98
LOT,1990,±èÁø¿µ,6,120,44,71,5,0.388,3858,453,946,41,125,119,31,464,48,501,0.245,19,6,1062.66,1062,83,446,56,487,585,524,4.44,102,0.977
LOT,1991,°­º´Ã¶,4,126,61,62,3,0.496,4128,583,1072,73,97,122,47,457,61,515,0.26,37,6,1117.66,1042,68,470,52,637,558,501,4.03,92,0.981
LOT,1992,°­º´Ã¶,1,126,71,55,0,0.563,4205,663,1213,68,130,103,53,483,59,542,0.288,39,7,1113.66,1152,99,410,37,581,581,529,4.28,87,0.982
LOT,1993,°­º´Ã¶,6,126,62,63,1,0.496,4077,452,1013,29,174,114,41,389,53,563,0.248,44,18,1120.66,1088,57,348,30,512,462,415,3.33,95,0.981
LOT,1994,±è¿ëÈñ,6,126,56,67,3,0.456,4175,489,1072,58,175,57,48,378,52,672,0.257,14,8,1112.33,1156,101,419,44,590,604,549,4.44,95,0.981
LOT,1995,±è¿ëÈñ,2,126,68,53,5,0.560,4197,590,1071,65,220,56,59,447,71,726,0.255,19,12,1137.33,1049,83,328,53,642,493,439,3.47,75,0.985
LOT,1996,±è¿ëÈñ,5,126,57,63,6,0.476,4244,566,1161,72,139,82,38,398,50,692,0.274,22,6,1120.66,1127,93,397,55,684,580,518,4.16,93,0.981
LOT,1997,±è¿ëÈñ,8,126,48,77,1,0.385,4066,434,962,75,110,88,29,359,56,801,0.237,9,4,1111.33,1155,116,464,47,640,621,566,4.58,110,0.978
LOT,1998,±è¿ëÈñ,8,126,50,72,4,0.410,4188,536,1070,86,76,89,32,403,68,829,0.255,20,7,1114,1149,115,381,74,693,646,570,4.61,102,0.979
LOT,1999,±è¸í¼º,2,132,75,52,5,0.591,4498,753,1309,145,98,99,52,465,72,815,0.291,15,8,1178,1125,146,431,54,852,590,547,4.18,92,0.982
LOT,2000,±è¸í¼º,5,133,65,64,4,0.504,4557,603,1186,104,92,82,24,449,66,831,0.26,8,14,1196.66,1136,129,442,53,917,579,534,4.02,105,0.98
LOT,2001,±è¸í¼º,8,133,59,70,4,0.457,4521,718,1265,121,106,82,60,585,60,817,0.28,0,3,1171.66,1238,128,523,61,790,670,609,4.68,99,0.981
LOT,2002,¿ì¿ëµæ,8,133,35,97,1,0.265,4512,463,1105,85,76,49,22,324,78,978,0.245,5,7,1168,1269,130,443,83,775,710,612,4.72,117,0.977
LOT,2003,¹éÀÎÃµ,8,133,39,91,3,0.300,4465,491,1143,73,84,83,28,338,73,848,0.256,3,4,1164.33,1302,171,435,93,647,709,648,5.01,104,0.98
LOT,2004,¾ç»ó¹®,8,133,50,72,11,0.410,4462,533,1125,88,129,74,31,416,92,853,0.252,4,8,1190.33,1216,109,449,76,753,608,558,4.22,87,0.983
LOT,2005,¾ç»ó¹®,5,126,58,67,1,0.464,4177,500,1058,83,88,94,20,361,70,856,0.253,2,6,1120.33,1097,91,408,89,817,573,535,4.3,98,0.98
LOT,2006,°­º´Ã¶,7,126,50,73,3,0.407,4137,488,1034,88,62,124,21,418,65,815,0.25,5,9,1118.66,1128,83,410,60,637,541,480,3.86,84,0.983
LOT,2007,°­º´Ã¶,7,126,55,68,3,0.447,4273,533,1152,76,67,104,39,405,73,763,0.27,2,9,1120.66,1164,93,414,69,704,554,513,4.12,82,0.983
LOT,2008,·ÎÀÌ½ºÅÍ,3,126,69,57,0,0.548,4256,624,1200,93,133,62,51,445,76,728,0.282,9,5,1119,1134,70,409,47,671,518,453,3.64,92,0.981
LOT,2009,·ÎÀÌ½ºÅÍ,4,133,66,67,0,0.496,4420,637,1223,121,106,60,49,456,68,816,0.277,6,13,1162.33,1290,139,487,67,722,669,613,4.75,96,0.981
LOT,2010,·ÎÀÌ½ºÅÍ,4,133,69,61,3,0.519,4673,773,1345,185,124,60,41,420,67,873,0.288,7,6,1194,1291,149,419,78,779,710,640,4.82,102,0.981
LOT,2011,¾ç½ÂÈ£,3,133,72,56,5,0.563,4599,713,1324,111,112,61,44,466,64,836,0.288,3,6,1187,1256,113,430,58,787,619,554,4.2,106,0.98
LOT,2012,¾ç½ÂÈ£,4,133,65,62,6,0.512,4481,509,1179,73,119,107,26,375,54,890,0.263,3,9,1190.33,1145,74,469,53,825,518,460,3.48,83,0.984
LOT,2013,±è½ÃÁø,5,128,66,58,4,0.532,4289,556,1118,61,133,74,41,502,72,862,0.261,1,11,1149.33,1148,84,489,62,820,553,502,3.93,98,0.98
LOT,2014,±è½ÃÁø,7,128,58,69,1,0.457,4487,716,1288,121,63,62,41,534,70,964,0.287,0,4,1133.33,1310,127,471,52,781,719,654,5.19,89,0.982
HAE,1982,±èµ¿¿±,4,80,38,42,0,0.475,2665,374,696,84,155,28,21,235,41,296,0.261,24,4,708,698,50,295,39,348,388,298,3.79,102,0.968
HAE,1983,±èÀÀ¿ë,1,100,55,44,1,0.556,3282,422,881,78,130,37,23,292,40,372,0.268,27,11,883.66,803,56,286,45,456,390,311,3.17,117,0.971
HAE,1984,±èÀÀ¿ë,5,100,43,54,3,0.443,3321,369,822,76,87,39,21,313,33,496,0.248,26,8,896.33,833,67,279,40,459,398,315,3.16,108,0.973
HAE,1985,±èÀÀ¿ë,3,110,57,52,1,0.523,3710,483,1009,99,130,60,32,348,33,386,0.272,11,7,988.66,979,83,296,51,450,465,400,3.64,89,0.98
HAE,1986,±èÀÀ¿ë,1,108,67,37,4,0.644,3582,474,929,99,120,76,23,321,39,406,0.259,28,16,982.66,857,41,334,34,531,372,312,2.86,99,0.978
HAE,1987,±èÀÀ¿ë,1,108,55,48,5,0.532,3609,393,910,71,90,68,26,335,44,379,0.252,26,15,982,864,52,372,32,494,401,345,3.16,84,0.981
HAE,1988,±èÀÀ¿ë,1,108,68,38,2,0.639,3604,505,1019,112,136,77,33,345,44,382,0.283,26,11,968.66,849,58,297,37,501,364,308,2.86,98,0.977
HAE,1989,±èÀÀ¿ë,1,120,65,51,4,0.558,3963,500,1011,90,111,57,26,470,48,508,0.255,30,14,1078.66,928,63,400,37,694,442,400,3.34,100,0.978
HAE,1990,±èÀÀ¿ë,3,120,68,49,3,0.579,3952,538,1066,87,101,95,29,466,53,544,0.27,34,16,1067.33,903,75,412,50,701,458,399,3.36,110,0.977
HAE,1991,±èÀÀ¿ë,1,126,79,42,5,0.647,4135,618,1069,144,152,74,35,516,83,588,0.259,34,16,1130.66,925,73,324,53,776,409,363,2.89,90,0.981
HAE,1992,±èÀÀ¿ë,3,126,71,54,1,0.567,4183,701,1139,138,134,54,37,559,70,656,0.272,25,11,1105.33,1101,118,405,69,678,571,517,4.21,105,0.978
HAE,1993,±èÀÀ¿ë,1,126,81,42,3,0.655,4102,513,1030,95,161,71,31,452,48,606,0.251,16,17,1129.33,935,76,372,75,802,420,367,2.92,110,0.978
HAE,1994,±èÀÀ¿ë,4,126,65,59,2,0.524,4254,563,1153,93,164,87,37,333,45,583,0.271,28,9,1119.33,999,92,406,73,737,509,448,3.6,116,0.976
HAE,1995,±èÀÀ¿ë,4,126,64,58,4,0.524,4095,431,989,75,130,86,35,341,77,675,0.242,15,11,1127.66,953,79,354,75,872,434,384,3.06,105,0.979
HAE,1996,±èÀÀ¿ë,1,126,73,51,2,0.587,4168,554,1022,92,170,71,29,463,72,744,0.245,22,15,1133.66,945,98,373,66,805,441,396,3.14,114,0.977
HAE,1997,±èÀÀ¿ë,1,126,75,50,1,0.599,4183,616,1081,133,148,78,30,466,67,722,0.258,11,10,1129,986,108,390,89,794,510,458,3.65,94,0.981
HAE,1998,±èÀÀ¿ë,5,126,61,64,1,0.488,4129,489,1067,94,58,92,33,367,57,669,0.258,6,9,1108.33,1062,121,351,76,870,531,481,3.91,98,0.979
HAE,1999,±èÀÀ¿ë,7,132,60,69,3,0.465,4549,765,1264,210,98,68,26,555,58,871,0.278,3,3,1168.33,1267,182,462,104,782,743,676,5.21,124,0.976
HAE,2000,±èÀÀ¿ë,6,133,57,72,4,0.442,4511,588,1137,86,112,64,33,527,40,866,0.252,10,5,1197.66,1284,177,491,96,881,728,659,4.95,119,0.977
KIA,2001,±è¼ºÇÑ,5,133,60,68,5,0.469,4542,683,1263,142,92,51,43,497,56,774,0.278,10,6,1178.66,1231,160,499,79,743,727,656,5.01,107,0.979
KIA,2002,±è¼ºÇÑ,3,133,78,51,4,0.605,4575,643,1230,120,155,45,35,454,91,914,0.269,10,7,1195,1185,151,370,97,862,580,520,3.92,101,0.98
KIA,2003,±è¼ºÇÑ,3,133,78,50,5,0.609,4448,657,1211,129,146,94,37,505,42,721,0.272,12,10,1178,1092,137,414,101,820,527,474,3.62,70,0.986
KIA,2004,±è¼ºÇÑ,4,133,67,61,5,0.523,4426,643,1182,143,127,82,54,549,79,693,0.267,5,9,1183,1198,119,496,120,773,637,593,4.51,79,0.984
KIA,2005,À¯³²È£,8,126,49,76,1,0.392,4234,541,1102,99,101,79,31,430,74,718,0.26,8,5,1105,1166,138,510,119,786,659,591,4.81,98,0.98
KIA,2006,¼­Á¤È¯,4,126,64,59,3,0.520,4181,476,1067,62,93,102,26,390,55,650,0.255,2,9,1118.33,998,73,442,78,735,451,414,3.33,66,0.986
KIA,2007,¼­Á¤È¯,8,126,51,74,1,0.408,4204,499,1080,73,70,78,45,428,55,630,0.257,2,6,1109.66,1109,103,526,97,670,602,554,4.49,77,0.984
KIA,2008,Á¶¹üÇö,6,126,57,69,0,0.452,4210,503,1095,48,131,85,35,453,48,642,0.26,3,9,1124,1078,65,473,77,733,555,510,4.08,75,0.985
KIA,2009,Á¶¹üÇö,1,133,81,48,4,0.609,4455,706,1191,156,113,74,41,579,66,890,0.267,4,10,1199,1178,108,441,83,893,581,522,3.92,94,0.982
KIA,2010,Á¶¹üÇö,5,133,59,74,0,0.444,4416,611,1148,106,117,109,33,523,85,865,0.26,4,7,1183.66,1227,93,468,81,885,641,577,4.39,86,0.983
KIA,2011,Á¶¹üÇö,4,133,70,63,0,0.526,4373,627,1177,106,113,109,34,554,59,782,0.269,7,10,1163.66,1117,87,457,76,920,580,530,4.1,67,0.986
KIA,2012,¼±µ¿¿­,5,133,62,65,6,0.488,4348,553,1112,54,132,132,47,544,60,790,0.256,11,15,1183.66,1161,69,452,68,822,564,513,3.9,88,0.983
KIA,2013,¼±µ¿¿­,8,128,51,74,3,0.408,4318,587,1125,88,141,78,42,537,75,864,0.261,2,3,1142.33,1307,88,532,76,923,711,650,5.12,71,0.985
KIA,2014,¼±µ¿¿­,8,128,54,74,0,0.422,4443,662,1279,121,121,67,35,416,62,870,0.288,2,5,1121.66,1289,116,561,67,896,788,725,5.82,94,0.98
BIN,1986,¹è¼º¼­,7,108,31,76,1,0.290,3453,333,815,46,79,84,17,420,30,494,0.236,42,8,956,932,90,284,47,407,467,388,3.65,102,0.976
BIN,1987,¹è¼º¼­,6,108,47,57,4,0.454,3547,410,972,48,79,104,23,326,54,423,0.274,51,7,955.33,970,75,281,37,364,454,401,3.78,105,0.975
BIN,1988,±è¿µ´ö,2,108,62,45,1,0.579,3616,506,961,73,83,69,33,332,52,463,0.266,27,14,972,1015,72,298,39,394,441,402,3.72,85,0.98
BIN,1989,±è¿µ´ö,2,120,71,46,3,0.604,4064,595,1121,97,122,64,45,412,48,544,0.276,26,9,1076.66,982,75,433,43,536,476,415,3.47,112,0.975
BIN,1990,±è¿µ´ö,4,120,68,50,2,0.575,3973,610,1074,112,138,70,42,495,47,618,0.27,6,5,1063.33,971,96,419,37,556,481,402,3.4,111,0.975
BIN,1991,±è¿µ´ö,2,126,72,49,5,0.591,4222,644,1155,136,121,84,29,484,51,705,0.274,30,13,1128,1014,75,420,73,601,493,411,3.28,131,0.971
BIN,1992,±è¿µ´ö,2,126,81,43,2,0.651,4198,658,1120,146,104,54,45,511,58,660,0.267,26,15,1120,1024,108,415,52,653,520,458,3.68,132,0.973
BIN,1993,±è¿µ´ö,5,126,61,61,4,0.500,4119,455,982,81,96,73,35,434,54,743,0.238,33,10,1127.66,1035,84,370,49,669,491,434,3.46,99,0.98
HAN,1994,°­º´Ã¶,3,126,65,59,2,0.524,4063,482,1002,68,94,113,36,416,63,696,0.247,22,9,1123.66,1036,95,361,40,745,510,440,3.52,118,0.975
HAN,1995,°­º´Ã¶,6,126,55,71,0,0.437,4161,510,1037,96,97,100,28,403,63,747,0.249,36,11,1119,1091,102,411,55,793,566,502,4.04,98,0.979
HAN,1996,°­º´Ã¶,4,126,70,55,1,0.560,4081,522,1000,90,95,118,35,432,80,836,0.245,21,12,1132.66,1025,98,351,56,949,532,477,3.79,114,0.976
HAN,1997,°­º´Ã¶,7,126,51,73,2,0.413,4077,481,1032,102,98,128,33,381,71,780,0.253,20,12,1115,1024,129,412,50,792,554,503,4.06,77,0.983
HAN,1998,°­º´Ã¶,7,126,55,66,5,0.455,4162,503,1042,123,94,99,21,339,72,783,0.25,8,6,1118.66,1107,114,405,40,840,578,529,4.26,96,0.98
HAN,1999,ÀÌÈñ¼ö,1,132,72,58,2,0.554,4479,731,1268,197,128,59,42,432,77,847,0.283,13,5,1170,1205,171,415,61,866,701,635,4.88,107,0.978
HAN,2000,ÀÌÈñ¼ö,7,133,50,78,5,0.391,4599,680,1270,180,78,45,43,449,66,997,0.276,7,7,1182.66,1248,189,527,83,805,776,689,5.24,120,0.977
HAN,2001,ÀÌ±¤È¯,4,133,61,68,4,0.473,4556,659,1255,148,135,75,34,549,45,877,0.275,7,5,1185,1288,142,541,66,813,733,634,4.82,117,0.977
HAN,2002,ÀÌ±¤È¯,7,133,59,69,5,0.461,4491,603,1148,170,94,52,22,446,49,1064,0.256,8,5,1184.66,1254,146,392,102,953,672,631,4.79,85,0.983
HAN,2003,À¯½Â¾È,5,133,63,65,5,0.492,4458,577,1131,121,78,102,21,542,75,887,0.254,4,8,1192,1184,142,437,68,772,617,579,4.37,75,0.985
HAN,2004,À¯½Â¾È,7,133,53,74,6,0.417,4519,632,1213,140,82,88,33,456,54,923,0.268,3,0,1180.66,1290,170,455,92,699,750,683,5.21,95,0.981
HAN,2005,±èÀÎ½Ä,4,126,64,61,1,0.512,4304,622,1163,159,62,31,31,400,75,824,0.27,2,6,1111,1193,111,389,88,662,603,545,4.41,110,0.978
HAN,2006,±èÀÎ½Ä,2,126,67,57,2,0.540,4170,511,1057,110,65,68,30,442,59,800,0.253,11,14,1121.33,1077,94,373,49,760,475,418,3.35,84,0.983
HAN,2007,±èÀÎ½Ä,3,126,67,57,2,0.540,4128,534,1050,104,48,87,28,506,56,705,0.254,9,5,1119,1084,84,451,53,741,481,440,3.54,76,0.984
HAN,2008,±èÀÎ½Ä,5,126,64,62,0,0.508,4275,592,1086,120,97,52,35,463,57,770,0.254,3,5,1129.66,1136,95,519,49,723,595,556,4.43,61,0.988
HAN,2009,±èÀÎ½Ä,8,133,46,84,3,0.346,4620,657,1241,164,69,43,31,498,81,1017,0.269,4,2,1174,1335,176,569,77,908,805,743,5.7,94,0.981
HAN,2010,ÇÑ´ëÈ­,8,133,49,82,2,0.368,4321,543,1053,104,121,75,33,497,80,943,0.244,6,6,1169.33,1290,146,551,72,806,763,705,5.43,80,0.984
HAN,2011,ÇÑ´ëÈ­,6,133,59,72,2,0.450,4367,568,1112,93,100,130,25,488,74,906,0.255,4,6,1175,1273,128,524,55,938,727,667,5.11,82,0.983
HAN,2012,ÇÑ´ëÈ­,8,133,53,77,3,0.408,4331,509,1077,71,107,100,27,538,61,907,0.249,3,6,1172.33,1148,106,488,68,936,647,593,4.55,73,0.985
HAN,2013,±èÀÀ¿ë,9,128,42,85,1,0.331,4271,480,1106,47,70,54,30,479,80,933,0.259,2,2,1129,1195,98,532,95,822,711,666,5.31,74,0.984
HAN,2014,±èÀÀ¿ë,9,128,49,77,2,0.389,4417,619,1251,104,70,50,43,490,55,839,0.283,2,3,1129,1451,162,537,81,748,889,796,6.35,113,0.977
SSB,1991,±èÀÎ½Ä,6,126,52,71,3,0.425,4114,554,1041,87,130,46,33,475,66,726,0.253,13,7,1099.66,1101,116,556,64,551,638,573,4.69,124,0.974
SSB,1992,±èÀÎ½Ä,8,126,41,84,1,0.329,4081,508,1015,90,89,77,21,528,54,748,0.249,14,5,1091.66,1106,140,516,65,600,686,588,4.85,135,0.972
SSB,1993,½Å¿ë±Õ,7,126,43,78,5,0.361,4005,366,903,46,117,74,21,392,53,733,0.225,24,7,1106,1032,88,528,62,654,551,491,4,93,0.981
SSB,1994,ÇÑµ¿È­,8,126,47,74,5,0.393,4142,494,1027,87,151,100,23,378,45,622,0.248,13,7,1115.66,1169,110,473,74,634,634,587,4.74,84,0.982
SSB,1995,ÇÑµ¿È­,8,126,45,78,3,0.369,4154,476,1054,83,131,103,33,381,37,600,0.254,21,6,1108,1134,124,476,80,622,636,575,4.67,93,0.981
SSB,1996,±è¼º±Ù,3,126,70,54,2,0.563,4112,545,1085,58,85,143,47,427,70,691,0.264,15,19,1125.33,1030,64,420,93,744,460,416,3.33,99,0.98
SSB,1997,±è¼º±Ù,3,126,71,53,2,0.571,4059,602,1090,110,81,137,44,490,51,694,0.269,6,8,1109.66,1075,93,378,87,689,518,471,3.82,86,0.982
SSB,1998,±è¼º±Ù,6,126,58,66,2,0.468,4170,536,1089,101,93,95,34,440,33,758,0.261,5,9,1115.33,1137,111,359,83,631,570,501,4.04,95,0.981
SSB,1999,±è¼º±Ù,8,132,28,97,7,0.224,4462,523,1108,86,126,76,33,418,64,908,0.248,6,4,1163.66,1342,187,481,103,661,826,757,5.85,110,0.978
SSM,1982,¹ÚÇö½Ä,6,80,15,65,0,0.188,2653,302,637,40,74,31,19,221,29,369,0.24,7,0,692,883,93,313,50,175,574,479,6.23,117,0.964
SSM,1983,±èÁø¿µ,3,100,52,47,1,0.525,3344,346,820,62,36,73,18,282,46,412,0.245,56,8,909,848,66,263,36,392,372,307,3.04,88,0.979
SSM,1984,±èÁø¿µ,6,100,38,59,3,0.392,3319,334,788,58,42,75,12,332,34,472,0.237,24,4,899.33,895,83,372,50,461,461,405,4.05,74,0.981
CHE,1985,±èÁø¿µ,6,110,39,70,1,0.358,3648,416,920,73,70,71,22,378,44,457,0.252,37,5,978.33,1130,118,399,60,393,607,529,4.87,106,0.976
CHE,1986,Çã±¸¿¬,6,108,32,74,2,0.302,3449,318,755,66,47,86,22,327,42,518,0.219,23,6,962.33,1001,68,356,57,408,506,427,3.99,101,0.977
CHE,1987,°­ÅÂÁ¤,7,108,41,65,2,0.389,3499,401,848,54,127,82,17,400,27,502,0.242,42,5,956,1063,69,327,36,328,524,463,4.36,91,0.979
TPY,1988,°­ÅÂÁ¤,7,108,34,73,1,0.319,3529,387,920,58,83,96,25,339,26,404,0.261,20,5,942,1013,78,304,37,386,538,478,4.57,93,0.978
TPY,1989,±è¼º±Ù,3,120,62,54,4,0.533,3943,499,981,55,168,99,35,504,40,554,0.249,34,8,1091.66,952,49,440,40,589,440,368,3.03,111,0.978
TPY,1990,±è¼º±Ù,5,120,58,59,3,0.496,3937,486,968,47,133,84,24,447,43,551,0.246,25,12,1082.33,1039,58,462,30,524,511,443,3.68,112,0.975
TPY,1991,¹Ú¿µ±æ,5,126,55,69,2,0.444,4105,426,976,51,142,85,27,423,41,600,0.238,33,8,1125,1083,99,478,42,602,559,503,4.02,103,0.978
TPY,1992,Á¤µ¿Áø,6,126,56,67,3,0.456,4143,518,1061,87,73,117,21,416,48,641,0.256,26,3,1111,1128,125,509,45,653,609,553,4.48,99,0.979
TPY,1993,Á¤µ¿Áø,8,126,34,82,10,0.310,4134,348,928,35,80,104,21,349,39,821,0.224,36,2,1134.66,1095,65,412,39,635,516,451,3.58,104,0.979
TPY,1994,Á¤µ¿Áø,2,126,68,55,3,0.552,4048,485,988,91,66,126,25,385,53,751,0.244,17,10,1121,1110,59,359,44,645,471,436,3.5,84,0.983
TPY,1995,Á¤µ¿Áø,7,126,48,73,5,0.401,4119,467,965,82,93,67,35,389,46,766,0.234,21,9,1112,1109,84,383,47,690,548,484,3.92,99,0.979
HYU,1996,±èÀç¹Ú,2,126,67,54,5,0.552,4127,493,1001,106,112,104,30,396,72,747,0.243,7,12,1140.66,974,76,378,54,749,454,385,3.04,100,0.98
HYU,1997,±èÀç¹Ú,6,126,51,71,4,0.421,4032,497,994,82,112,122,28,424,72,720,0.247,9,6,1108.33,1050,123,423,57,755,582,519,4.21,107,0.978
HYU,1998,±èÀç¹Ú,1,126,81,45,0,0.643,4161,633,1123,142,134,91,38,413,74,820,0.27,11,8,1121,984,98,415,33,875,445,377,3.03,108,0.978
HYU,1999,±èÀç¹Ú,5,132,68,59,5,0.535,4456,699,1210,143,109,127,42,537,98,780,0.272,10,6,1181.33,1268,141,473,60,910,646,587,4.47,106,0.979
HYU,2000,±èÀç¹Ú,1,133,91,40,2,0.695,4481,777,1245,208,104,74,46,548,94,905,0.278,5,11,1189.66,1111,95,451,34,997,528,481,3.64,95,0.982
HYU,2001,±èÀç¹Ú,3,133,72,57,4,0.558,4445,711,1192,169,99,77,29,598,76,911,0.268,6,3,1183.33,1250,98,531,54,757,628,570,4.34,116,0.978
HYU,2002,±èÀç¹Ú,4,133,70,58,5,0.547,4444,658,1160,173,79,99,34,464,99,945,0.261,3,6,1186.33,1219,142,416,64,890,614,558,4.23,82,0.984
HYU,2003,±èÀç¹Ú,1,133,80,51,2,0.611,4483,723,1280,175,75,139,38,543,109,727,0.286,2,4,1190,1245,120,457,62,840,627,546,4.13,112,0.978
HYU,2004,±èÀç¹Ú,1,133,75,53,5,0.586,4480,692,1233,134,100,111,38,607,86,871,0.275,3,8,1187,1193,123,440,59,842,590,535,4.06,78,0.985
HYU,2005,±èÀç¹Ú,7,126,53,70,3,0.431,4190,563,1071,134,81,105,26,458,120,817,0.256,2,9,1115.66,1175,125,422,80,803,647,580,4.68,100,0.979
HYU,2006,±èÀç¹Ú,3,126,70,55,1,0.560,4092,547,1104,92,71,153,32,444,77,628,0.27,2,15,1114.66,1053,69,394,71,816,467,422,3.41,93,0.98
HYU,2007,±è½ÃÁø,6,126,56,69,1,0.448,4260,530,1154,96,51,125,32,443,60,653,0.271,1,2,1127,1104,119,466,48,796,615,552,4.41,96,0.98
