TEAM,YEAR,G,BA,AB,AB.1,R,H,X2B,X3B,HR,TB,RBI,SB,CS,SH,SF,BB,IBB,HBP,SO,GIDP,LOB,E,OBP,SLG,FA
OB,1982,80,0.283,3098,2745,399,778,137,23,57,1132,362,106,61,46,18,247,22,41,254,35,568,98,0.351,0.412,0.971
SAM,1982,80,0.266,3043,2649,434,705,126,18,57,1038,374,147,43,36,18,307,2,30,349,51,539,81,0.349,0.392,0.975
MBC,1982,80,0.282,3061,2686,419,757,124,12,65,1100,381,134,59,32,27,268,18,47,316,56,535,105,0.357,0.41,0.967
HAE,1982,80,0.261,2990,2665,374,696,110,14,84,1086,332,155,52,28,21,235,12,41,296,59,484,102,0.33,0.408,0.968
LOT,1982,80,0.256,3062,2628,353,674,112,8,59,979,325,83,53,41,27,326,8,40,315,61,544,97,0.347,0.373,0.969
SMM,1982,80,0.24,2954,2653,302,637,117,20,40,914,272,74,43,31,19,221,3,29,369,44,505,117,0.306,0.345,0.964
HAE,1983,100,0.268,3674,3282,422,881,130,15,78,1275,387,130,90,37,23,292,16,40,372,76,620,117,0.336,0.388,0.971
MBC,1983,100,0.255,3772,3327,412,847,146,21,46,1173,371,128,67,70,31,283,8,60,370,59,643,107,0.324,0.353,0.974
SMM,1983,100,0.245,3764,3344,346,820,113,14,62,1147,315,36,43,73,18,282,16,46,412,74,695,88,0.313,0.343,0.979
SAM,1983,100,0.263,3847,3383,448,889,143,14,90,1330,421,69,42,66,27,314,9,55,427,62,698,99,0.335,0.393,0.975
OB,1983,100,0.259,3766,3330,418,863,142,26,50,1207,378,60,45,85,22,279,11,50,352,63,654,110,0.326,0.362,0.974
LOT,1983,100,0.244,3723,3291,365,803,132,18,77,1202,339,76,61,57,25,307,2,41,423,72,653,125,0.316,0.365,0.969
LOT,1984,100,0.257,3727,3265,405,840,139,20,71,1232,374,108,65,56,28,326,17,48,446,63,686,96,0.334,0.377,0.976
SAM,1984,100,0.27,3756,3298,435,889,147,18,78,1306,413,74,60,62,18,313,18,63,422,62,675,64,0.344,0.396,0.985
OB,1984,100,0.256,3662,3183,382,816,133,18,53,1144,362,111,62,62,34,339,17,43,367,66,653,82,0.336,0.359,0.98
MBC,1984,100,0.253,3753,3317,375,840,127,35,47,1178,341,99,68,47,35,314,14,40,446,62,681,85,0.325,0.355,0.979
HAE,1984,100,0.248,3728,3321,369,822,143,10,76,1213,343,87,52,39,21,313,8,33,496,87,653,108,0.319,0.365,0.973
SMM,1984,100,0.237,3773,3319,334,788,134,14,58,1124,301,42,29,75,12,332,11,34,472,73,715,74,0.313,0.339,0.981
SAM,1985,110,0.276,4243,3644,552,1005,181,22,97,1521,512,116,85,93,42,402,18,60,456,72,749,81,0.357,0.417,0.982
LOT,1985,110,0.256,4138,3598,426,920,168,19,77,1357,399,79,58,106,34,352,11,47,445,78,747,111,0.33,0.377,0.975
HAE,1985,110,0.272,4185,3710,483,1009,160,13,99,1492,437,130,77,60,32,348,5,33,386,85,742,89,0.34,0.402,0.98
OB,1985,110,0.26,4189,3667,473,954,146,27,67,1355,432,107,76,87,31,354,19,50,442,54,737,91,0.334,0.37,0.98
MBC,1985,110,0.246,4073,3624,345,892,127,19,37,1168,317,129,73,56,29,324,16,39,452,65,747,94,0.315,0.322,0.979
CHE,1985,110,0.252,4165,3648,416,920,158,9,73,1315,376,70,48,71,22,378,4,44,457,95,769,106,0.33,0.36,0.976
HAE,1986,108,0.259,4044,3582,474,929,136,18,99,1398,443,120,78,76,23,321,16,39,406,82,667,99,0.325,0.39,0.978
SAM,1986,108,0.276,4119,3617,475,997,177,22,74,1440,439,110,67,68,31,354,13,48,465,76,794,80,0.345,0.398,0.982
MBC,1986,108,0.265,4138,3644,434,964,151,29,37,1284,398,116,59,89,35,315,15,55,428,65,772,97,0.329,0.352,0.978
OB,1986,108,0.249,4044,3531,369,880,114,31,38,1170,350,78,69,104,29,336,13,39,395,71,761,95,0.319,0.331,0.979
LOT,1986,108,0.248,4089,3603,373,894,140,28,37,1201,332,89,51,100,19,342,16,24,357,81,755,94,0.316,0.333,0.979
CHE,1986,108,0.219,3926,3449,318,755,138,10,66,1111,292,47,52,86,22,327,10,42,518,86,659,101,0.293,0.322,0.977
BIN,1986,108,0.236,4004,3453,333,815,122,23,46,1121,313,79,85,84,17,420,3,30,494,81,748,102,0.323,0.325,0.976
HAE,1987,108,0.252,4085,3609,393,910,151,12,71,1298,368,90,44,68,26,335,19,44,379,96,753,84,0.321,0.36,0.981
SAM,1987,108,0.3,4218,3731,583,1120,164,29,105,1657,548,101,51,26,40,380,15,40,448,88,793,78,0.367,0.444,0.982
LOT,1987,108,0.268,4155,3625,432,970,161,27,40,1305,400,99,50,86,20,390,20,34,330,102,803,77,0.343,0.36,0.982
OB,1987,108,0.261,4010,3548,415,927,123,34,30,1208,391,73,49,70,25,342,9,24,369,88,718,97,0.328,0.34,0.978
MBC,1987,108,0.258,4019,3566,388,919,117,38,36,1220,359,91,54,85,28,296,14,43,353,80,719,92,0.32,0.342,0.979
BIN,1987,108,0.274,4054,3547,410,972,145,22,48,1305,370,79,85,104,23,326,11,54,423,84,760,105,0.342,0.368,0.975
CHE,1987,108,0.242,4026,3499,401,848,151,14,54,1189,372,127,80,82,17,400,7,27,502,79,718,91,0.323,0.34,0.979
HAE,1988,108,0.283,4105,3604,505,1019,135,14,112,1518,471,136,58,77,33,345,11,44,382,97,739,98,0.35,0.421,0.977
BIN,1988,108,0.266,4103,3616,506,961,177,21,73,1399,465,83,51,69,33,332,8,52,463,78,708,85,0.333,0.387,0.98
LOT,1988,108,0.27,4095,3578,482,967,142,18,68,1349,446,127,64,104,24,347,16,40,333,81,726,92,0.339,0.377,0.979
SAM,1988,108,0.278,4192,3692,516,1028,149,21,85,1474,486,110,62,53,24,381,13,42,493,74,788,76,0.351,0.399,0.982
OB,1988,108,0.258,4044,3584,418,923,145,25,44,1250,387,87,39,78,31,321,13,28,375,91,709,81,0.321,0.349,0.981
MBC,1988,108,0.26,4101,3652,408,951,131,27,42,1262,373,118,61,70,23,321,16,34,384,72,771,105,0.324,0.346,0.976
TPY,1988,108,0.261,4015,3529,387,920,163,23,58,1303,368,83,65,96,25,339,16,26,404,84,743,93,0.328,0.369,0.978
HAE,1989,120,0.255,4564,3963,500,1011,142,9,90,1441,472,111,74,57,26,470,26,48,508,111,845,100,0.339,0.364,0.978
BIN,1989,120,0.276,4633,4064,595,1121,208,26,97,1672,549,122,60,64,45,412,23,48,544,74,836,112,0.346,0.411,0.975
TPY,1989,120,0.249,4621,3943,499,981,187,25,55,1383,453,168,80,99,35,504,30,40,554,81,864,111,0.337,0.351,0.978
SAM,1989,120,0.272,4569,4024,580,1094,173,20,96,1595,540,159,76,56,47,397,11,45,616,77,788,116,0.34,0.396,0.975
OB,1989,120,0.247,4481,3935,447,970,165,28,42,1317,416,135,73,82,32,389,16,42,559,65,812,95,0.319,0.335,0.98
MBC,1989,120,0.252,4550,3912,490,985,139,36,42,1322,458,172,94,85,42,470,14,40,489,89,828,122,0.335,0.338,0.974
LOT,1989,120,0.247,4612,3939,419,974,155,23,38,1289,383,100,74,98,27,519,19,29,520,89,928,99,0.337,0.327,0.98
LG,1990,120,0.271,4661,4024,578,1089,155,40,61,1507,528,140,101,56,50,465,24,65,450,82,861,89,0.352,0.375,0.981
SAM,1990,120,0.263,4551,3961,597,1040,170,13,131,1629,554,108,54,68,31,434,12,52,532,91,772,97,0.341,0.411,0.979
HAE,1990,120,0.27,4595,3952,538,1066,177,23,87,1550,501,101,66,95,29,466,28,53,544,100,882,110,0.352,0.392,0.977
BIN,1990,120,0.27,4627,3973,610,1074,174,24,112,1632,560,138,66,70,42,495,18,47,618,83,857,111,0.355,0.411,0.975
TPY,1990,120,0.246,4535,3937,486,968,177,25,47,1336,447,133,84,84,24,447,16,43,551,93,803,112,0.328,0.339,0.975
LOT,1990,120,0.245,4522,3858,453,946,163,30,41,1292,417,125,64,119,31,464,12,48,501,91,846,102,0.331,0.335,0.977
OB,1990,120,0.231,4470,3902,404,901,153,22,62,1284,380,83,66,66,40,425,17,37,562,77,823,102,0.309,0.329,0.977
HAE,1991,126,0.259,4843,4135,618,1069,171,29,144,1730,594,152,77,74,35,516,13,83,588,102,895,90,0.35,0.418,0.981
BIN,1991,126,0.274,4870,4222,644,1155,181,43,136,1830,607,121,63,84,29,484,22,51,705,92,874,131,0.353,0.433,0.971
SAM,1991,126,0.272,4875,4182,639,1138,180,25,108,1692,592,126,82,85,37,510,28,59,546,106,874,99,0.357,0.405,0.98
LOT,1991,126,0.26,4821,4128,583,1072,177,46,73,1560,533,97,57,122,47,457,30,61,515,78,889,92,0.339,0.378,0.981
TPY,1991,126,0.238,4681,4105,426,976,208,24,51,1385,395,142,73,85,27,423,25,41,600,80,858,103,0.313,0.337,0.978
LG,1991,126,0.244,4680,4131,472,1009,158,41,53,1408,430,110,99,67,29,400,18,53,476,117,804,103,0.317,0.341,0.979
SSB,1991,126,0.253,4734,4114,554,1041,198,30,87,1560,505,130,87,46,33,475,12,66,726,93,850,124,0.337,0.379,0.974
OB,1991,126,0.25,4787,4220,501,1054,169,39,59,1478,458,136,78,91,22,419,23,35,639,83,876,117,0.321,0.35,0.976
LOT,1992,126,0.288,4904,4205,663,1213,211,62,68,1752,619,130,55,103,53,483,14,59,542,88,932,87,0.366,0.417,0.982
BIN,1992,126,0.267,4866,4198,658,1120,191,29,146,1807,620,104,58,54,45,511,29,58,660,96,898,132,0.351,0.43,0.973
HAE,1992,126,0.272,4903,4183,701,1139,191,16,138,1776,658,134,57,54,37,559,14,70,656,114,921,105,0.365,0.425,0.978
SAM,1992,126,0.265,4921,4250,633,1128,169,23,124,1715,585,127,61,58,44,494,21,73,620,95,918,122,0.349,0.404,0.976
OB,1992,126,0.259,4833,4225,547,1096,172,31,110,1660,511,96,58,96,32,439,19,38,607,92,893,116,0.332,0.393,0.977
TPY,1992,126,0.256,4744,4143,518,1061,205,25,87,1577,467,73,50,117,21,416,11,48,641,98,878,99,0.33,0.381,0.979
LG,1992,126,0.257,4860,4278,573,1100,172,24,108,1644,540,89,55,64,31,441,21,46,574,111,869,125,0.331,0.384,0.975
SSB,1992,126,0.249,4766,4081,508,1015,167,29,90,1510,459,89,53,77,21,528,24,54,748,138,912,135,0.341,0.37,0.972
HAE,1993,126,0.251,4711,4102,513,1030,169,12,95,1508,465,161,73,71,31,452,6,48,606,107,864,110,0.33,0.368,0.978
SAM,1993,126,0.271,4885,4260,615,1154,166,21,133,1761,583,102,75,54,39,463,13,68,623,106,898,97,0.349,0.413,0.981
OB,1993,126,0.258,4740,4131,473,1066,176,34,59,1487,442,86,49,118,39,403,16,48,611,104,897,98,0.328,0.36,0.98
LG,1993,126,0.256,4730,4182,496,1069,176,32,74,1531,463,117,62,91,26,376,17,55,594,95,865,100,0.323,0.366,0.98
BIN,1993,126,0.238,4715,4119,455,982,180,13,81,1431,427,96,50,73,35,434,16,54,743,96,876,99,0.317,0.347,0.98
LOT,1993,126,0.248,4675,4077,452,1013,160,38,29,1336,422,174,79,114,41,389,10,53,563,75,847,95,0.319,0.328,0.981
SSB,1993,126,0.225,4546,4005,366,903,138,14,46,1207,342,117,80,74,21,392,12,53,733,88,824,93,0.301,0.301,0.981
TPY,1993,126,0.224,4647,4134,348,928,172,16,35,1237,323,80,51,104,21,349,17,39,821,100,830,104,0.29,0.299,0.979
LG,1994,126,0.282,4886,4265,655,1204,205,36,88,1745,612,143,61,54,41,455,18,70,573,83,919,102,0.358,0.409,0.979
TPY,1994,126,0.244,4637,4048,485,988,179,18,91,1476,453,66,64,126,25,385,16,53,751,86,809,84,0.316,0.365,0.983
HAN,1994,126,0.247,4691,4063,482,1002,166,15,68,1402,444,94,66,113,36,416,19,63,696,97,852,118,0.324,0.345,0.975
HAE,1994,126,0.271,4757,4254,563,1153,183,17,93,1649,534,164,60,87,37,333,21,45,583,76,847,116,0.328,0.388,0.976
SAM,1994,126,0.26,4801,4161,541,1081,165,22,106,1608,510,120,67,79,39,458,21,64,650,95,904,131,0.339,0.386,0.974
LOT,1994,126,0.257,4710,4175,489,1072,180,33,58,1492,457,175,88,57,48,378,19,52,672,80,863,95,0.323,0.357,0.981
OB,1994,126,0.246,4656,4113,477,1013,159,18,75,1433,459,81,54,93,33,364,15,53,712,76,827,116,0.313,0.348,0.976
SSB,1994,126,0.248,4690,4142,494,1027,160,20,87,1488,455,151,67,100,23,378,19,45,622,86,811,84,0.316,0.359,0.982
OB,1995,126,0.266,4853,4342,629,1154,203,28,106,1731,585,121,57,62,40,357,16,52,741,99,815,106,0.326,0.399,0.978
LOT,1995,126,0.255,4830,4197,590,1071,158,51,65,1526,552,220,73,56,59,447,22,71,726,74,846,75,0.333,0.364,0.985
LG,1995,126,0.257,4752,4137,527,1064,170,34,79,1539,472,121,50,73,45,421,20,76,621,90,885,104,0.334,0.372,0.979
HAE,1995,126,0.242,4638,4095,431,989,154,22,75,1412,397,130,43,86,35,341,20,77,675,94,837,105,0.309,0.345,0.979
SAM,1995,126,0.25,4752,4188,558,1047,199,20,94,1568,516,100,44,55,32,384,21,92,723,77,849,127,0.324,0.374,0.974
HAN,1995,126,0.249,4755,4161,510,1037,205,25,96,1580,478,97,65,100,28,403,22,63,747,80,875,98,0.323,0.38,0.979
TPY,1995,126,0.234,4657,4119,467,965,170,20,82,1421,438,93,48,67,35,389,15,46,766,90,818,99,0.305,0.345,0.979
SSB,1995,126,0.254,4708,4154,476,1054,165,21,83,1510,438,131,70,103,33,381,25,37,600,75,860,93,0.32,0.364,0.981
HAE,1996,126,0.245,4803,4168,554,1022,191,18,92,1525,510,170,57,71,29,463,31,72,744,86,882,114,0.329,0.366,0.977
HYU,1996,126,0.243,4729,4127,493,1001,171,21,106,1532,462,112,90,104,30,396,35,72,747,66,828,100,0.318,0.371,0.98
SSB,1996,126,0.264,4806,4112,545,1085,192,33,58,1517,489,85,59,143,47,427,34,70,691,89,908,99,0.34,0.369,0.98
HAN,1996,126,0.245,4747,4081,522,1000,203,23,90,1519,499,95,72,118,35,432,18,80,836,92,843,114,0.327,0.372,0.976
LOT,1996,126,0.274,4812,4244,566,1161,214,38,72,1667,543,139,61,82,38,398,23,50,692,94,876,93,0.34,0.393,0.981
SAM,1996,126,0.249,4732,4136,510,1029,191,23,88,1530,478,135,79,56,37,423,22,76,807,77,857,106,0.327,0.37,0.979
LG,1996,126,0.246,4856,4203,525,1036,164,18,98,1530,499,95,57,92,26,441,31,94,666,89,915,122,0.33,0.364,0.975
OB,1996,126,0.242,4653,4163,446,1008,178,23,82,1478,410,78,53,75,29,327,26,59,721,98,812,104,0.304,0.355,0.979
HAE,1997,126,0.258,4825,4183,616,1081,208,9,133,1706,578,148,62,78,30,466,48,67,722,102,861,94,0.34,0.408,0.981
LG,1997,126,0.267,4821,4153,590,1109,221,29,83,1637,549,136,51,97,57,422,24,90,601,82,902,94,0.343,0.394,0.981
SSB,1997,126,0.269,4783,4059,602,1090,201,30,110,1681,565,81,60,137,44,490,37,51,694,99,874,86,0.351,0.414,0.982
SAM,1997,126,0.277,4976,4305,722,1194,254,24,165,1991,669,137,80,88,32,456,43,90,804,67,879,99,0.356,0.462,0.98
OB,1997,126,0.254,4768,4216,511,1070,159,21,84,1523,481,143,53,70,31,382,19,69,718,96,877,115,0.324,0.361,0.977
HYU,1997,126,0.247,4680,4032,497,994,179,19,82,1457,459,112,78,122,28,424,33,72,720,91,832,107,0.327,0.361,0.978
HAN,1997,126,0.253,4690,4077,481,1032,181,18,102,1555,445,98,74,128,33,381,20,71,780,88,827,77,0.325,0.381,0.983
LOT,1997,126,0.237,4599,4066,434,962,176,20,75,1403,411,110,69,88,29,359,16,56,801,88,791,110,0.305,0.345,0.978
HYU,1998,126,0.27,4779,4161,633,1123,216,21,142,1807,587,134,85,91,38,413,16,74,820,69,839,108,0.344,0.434,0.978
LG,1998,126,0.267,4840,4243,609,1131,229,21,100,1702,567,99,46,77,35,417,17,68,699,94,870,103,0.339,0.401,0.979
SAM,1998,126,0.268,4918,4263,620,1143,211,20,143,1823,576,117,60,90,38,446,48,80,822,102,914,79,0.346,0.428,0.984
OB,1998,126,0.256,4718,4224,520,1080,174,28,102,1616,479,123,50,65,34,338,17,56,713,87,844,91,0.317,0.383,0.981
HAE,1998,126,0.258,4678,4129,489,1067,188,8,94,1553,467,58,26,92,33,367,25,57,669,125,857,98,0.325,0.376,0.979
SSB,1998,126,0.261,4773,4170,536,1089,178,31,101,1632,499,93,46,95,34,440,32,33,758,94,882,95,0.334,0.391,0.981
HAN,1998,126,0.25,4693,4162,503,1042,201,10,123,1632,472,94,58,99,21,339,23,72,783,94,819,96,0.316,0.392,0.98
LOT,1998,126,0.255,4781,4188,536,1070,200,33,86,1594,500,76,54,89,32,403,24,68,829,76,879,102,0.329,0.381,0.979
HAN,1999,132,0.283,5089,4479,731,1268,253,29,197,2170,687,128,69,59,42,432,14,77,847,107,870,107,0.353,0.484,0.978
LOT,1999,132,0.291,5186,4498,753,1309,262,34,145,2074,709,98,68,99,52,465,16,72,815,92,940,92,0.363,0.461,0.982
DOO,1999,132,0.284,5229,4587,721,1305,218,31,141,2008,693,136,44,74,41,478,21,49,693,126,976,105,0.355,0.438,0.98
